Host Name,Number of Stars,Number of Planets,Radius (Thousands of Astronomical Units),Host (Galaxy),,,,,,,,,,,
47 UMa,1,3,5.934,Lindsay-Shapley Ring,,,,,,,,,,,
51 Eri,3,1,126.428,Cosmos Redshift 7,,,,,,,,,,,
51 Peg,1,1,48.015,Grasshopper,,,,,,,,,,,
55 Cnc,2,5,160.703,Large Magellanic Cloud,,,,,,,,,,,
6 Lyn,1,1,267.131,Little Sombrero Galaxy,,,,,,,,,,,
61 Vir,1,3,178.847,Mayall's Object,,,,,,,,,,,
7 CMa,1,2,153.424,Backward Galaxy,,,,,,,,,,,
70 Vir,1,1,258.767,Hockey Stick Galaxies,,,,,,,,,,,
75 Cet,2,2,140.408,Helix Galaxy,,,,,,,,,,,
8 UMi,1,1,281.646,Mice Galaxies,,,,,,,,,,,
81 Cet,1,1,54.186,Mice Galaxies,,,,,,,,,,,
91 Aqr,3,1,27.1,Black Eye Galaxy,,,,,,,,,,,
AB Aur,1,1,56.32,Sombrero Galaxy,,,,,,,,,,,
AB Pic,1,1,282.807,Cosmos Redshift 7,,,,,,,,,,,
AF Lep,1,1,39.228,Cartwheel Galaxy,,,,,,,,,,,
AU Mic,1,3,121.838,Malin 1,,,,,,,,,,,
BD+03 2562,1,1,259.173,Godzilla Galaxy,,,,,,,,,,,
BD+14 4559,1,1,271.357,Fried Egg Galaxy,,,,,,,,,,,
BD+15 2375,1,1,184.592,Cigar Galaxy,,,,,,,,,,,
BD+15 2940,1,1,89.013,Eye of Sauron,,,,,,,,,,,
BD+20 2457,1,2,223.315,Pinwheel Galaxy,,,,,,,,,,,
BD+20 274,1,1,197.683,Starfish Galaxy,,,,,,,,,,,
BD+20 594,1,1,49.733,Milky Way,,,,,,,,,,,
BD+45 564,1,1,176.233,Fried Egg Galaxy,,,,,,,,,,,
BD+48 738,1,1,42.62,Needle Galaxy,,,,,,,,,,,
BD+48 740,1,1,71.562,Fried Egg Galaxy,,,,,,,,,,,
BD+49 828,1,1,125.728,Condor Galaxy,,,,,,,,,,,
BD+55 362,1,1,86.899,Hockey Stick Galaxies,,,,,,,,,,,
BD+60 1417,1,1,78.307,Helix Galaxy,,,,,,,,,,,
BD+63 1405,1,1,114.541,Godzilla Galaxy,,,,,,,,,,,
BD-06 1339,1,2,246.29,Backward Galaxy,,,,,,,,,,,
BD-08 2823,1,2,273.939,Wolf-Lundmark-Melotte,,,,,,,,,,,
BD-10 3166,1,1,199.17,Godzilla Galaxy,,,,,,,,,,,
BD-11 4672,1,2,1.343,Eye of God,,,,,,,,,,,
BD-13 2130,1,1,38.851,Butterfly Galaxies,,,,,,,,,,,
BD-14 3065 A,3,1,88.15,Backward Galaxy,,,,,,,,,,,
BD-17 63,1,1,62.155,Black Eye Galaxy,,,,,,,,,,,
BD-210397,1,2,289.774,Circinus Galaxy,,,,,,,,,,,
Barnard's star,1,1,101.979,Needle Galaxy,,,,,,,,,,,
CD Cet,1,1,158.348,Cigar Galaxy,,,,,,,,,,,
CFBDSIR J145829+101343,1,1,81.674,Southern Pinwheel Galaxy,,,,,,,,,,,
CFHTWIR-Oph 98 A,1,1,32.081,Sculptor Galaxy,,,,,,,,,,,
CHXR 73,1,1,254.005,Whirlpool Galaxy,,,,,,,,,,,
CI Tau,1,1,240.812,Godzilla Galaxy,,,,,,,,,,,
COCONUTS-2 A,1,1,278.866,Godzilla Galaxy,,,,,,,,,,,
CT Cha,1,1,269.417,Knife Edge Galaxy,,,,,,,,,,,
CoRoT-1,1,1,259.115,Butterfly Galaxies,,,,,,,,,,,
CoRoT-10,1,1,296.262,Antennae Galaxies,,,,,,,,,,,
CoRoT-11,1,1,70.973,Backward Galaxy,,,,,,,,,,,
CoRoT-12,1,1,115.031,Blinking Galaxy,,,,,,,,,,,
CoRoT-13,1,1,163.679,Coma Pinwheel Galaxy,,,,,,,,,,,
CoRoT-14,1,1,242.775,Meathook Galaxy,,,,,,,,,,,
CoRoT-16,1,1,117.748,Helix Galaxy,,,,,,,,,,,
CoRoT-17,1,1,264.111,Sunflower Galaxy,,,,,,,,,,,
CoRoT-18,1,1,215.266,Hockey Stick Galaxies,,,,,,,,,,,
CoRoT-19,1,1,68.517,Sombrero Galaxy,,,,,,,,,,,
CoRoT-2,2,1,190.294,Hockey Stick Galaxies,,,,,,,,,,,
CoRoT-20,1,2,148.357,Butterfly Galaxies,,,,,,,,,,,
CoRoT-21,1,1,137.369,Mayall's Object,,,,,,,,,,,
CoRoT-22,1,1,234.085,Lindsay-Shapley Ring,,,,,,,,,,,
CoRoT-23,1,1,221.635,Hoag's Object,,,,,,,,,,,
CoRoT-24,1,2,273.153,Grasshopper,,,,,,,,,,,
CoRoT-25,1,1,201.11,Condor Galaxy,,,,,,,,,,,
CoRoT-26,1,1,213.304,Helix Galaxy,,,,,,,,,,,
CoRoT-27,1,1,277.972,Medusa Merger,,,,,,,,,,,
CoRoT-28,1,1,87.09,Large Magellanic Cloud,,,,,,,,,,,
CoRoT-29,1,1,0.096,Spiderweb Galaxy,,,,,,,,,,,
CoRoT-3,1,1,258.141,Helix Galaxy,,,,,,,,,,,
CoRoT-30,1,1,288.951,Spiderweb Galaxy,,,,,,,,,,,
CoRoT-31,1,1,222.139,Cartwheel Galaxy,,,,,,,,,,,
CoRoT-35,1,1,54.156,Comet Galaxy,,,,,,,,,,,
CoRoT-36,1,1,4.501,Whale Galaxy,,,,,,,,,,,
CoRoT-4,1,1,85.934,Cosmos Redshift 7,,,,,,,,,,,
CoRoT-5,1,1,88.466,Cigar Galaxy,,,,,,,,,,,
CoRoT-6,1,1,280.022,Large Magellanic Cloud,,,,,,,,,,,
CoRoT-7,1,3,251.971,Blinking Galaxy,,,,,,,,,,,
CoRoT-8,1,1,67.302,Black Eye Galaxy,,,,,,,,,,,
CoRoT-9,2,1,6.246,Sunflower Galaxy,,,,,,,,,,,
CoRoTID 223977153,1,1,292.355,Fireworks Galaxy,,,,,,,,,,,
DE CVn,2,1,120.807,Hidden Galaxy,,,,,,,,,,,
DENIS-P J082303.1-491201,1,1,266.377,Backward Galaxy,,,,,,,,,,,
DH Tau,1,1,215.421,Hidden Galaxy,,,,,,,,,,,
DMPP-1,1,4,177.102,Sculptor Dwarf Galaxy,,,,,,,,,,,
DMPP-2,1,1,294.042,Butterfly Galaxies,,,,,,,,,,,
DMPP-3 A,2,1,51.382,Butterfly Galaxies,,,,,,,,,,,
DMPP-4,1,1,35.624,UFO Galaxy,,,,,,,,,,,
DP Leo,2,1,153.614,Hoag's Object,,,,,,,,,,,
DS Tuc A,2,1,181.609,Malin 1,,,,,,,,,,,
EPIC 201170410,1,1,223.904,Andromeda Galaxy,,,,,,,,,,,
EPIC 201238110,1,1,136.387,Cocoon Galaxy,,,,,,,,,,,
EPIC 201427007,1,1,212.015,Cartwheel Galaxy,,,,,,,,,,,
EPIC 201497682,1,1,252.716,Fried Egg Galaxy,,,,,,,,,,,
EPIC 201595106,1,2,86.116,Whirlpool Galaxy,,,,,,,,,,,
K2-166,1,2,233.695,Meathook Galaxy,,,,,,,,,,,
K2-16,1,3,95.586,Small Magellanic Cloud,,,,,,,,,,,
EPIC 201757695,1,1,25.385,Hockey Stick Galaxies,,,,,,,,,,,
K2-50,1,2,48.882,Coma Pinwheel Galaxy,,,,,,,,,,,
EPIC 201841433,1,1,37.334,Eye of Sauron,,,,,,,,,,,
K2-168,1,2,220.723,Sunflower Galaxy,,,,,,,,,,,
EPIC 206024342,1,3,218.55,Large Magellanic Cloud,,,,,,,,,,,
EPIC 206032309,1,1,79.275,Fireworks Galaxy,,,,,,,,,,,
EPIC 206042996,1,2,117.502,Spiderweb Galaxy,,,,,,,,,,,
EPIC 206215704,1,1,224.564,Eye of Sauron,,,,,,,,,,,
EPIC 206317286,1,2,64.907,Cocoon Galaxy,,,,,,,,,,,
EPIC 211822797,1,1,73.991,Small Magellanic Cloud,,,,,,,,,,,
EPIC 211945201,1,1,63.752,Condor Galaxy,,,,,,,,,,,
EPIC 212297394,1,2,3.501,Comet Galaxy,,,,,,,,,,,
EPIC 212424622,1,1,37.383,Backward Galaxy,,,,,,,,,,,
EPIC 212499991,1,1,64.835,Butterfly Galaxies,,,,,,,,,,,
EPIC 212587672,1,2,24.17,Hidden Galaxy,,,,,,,,,,,
EPIC 212624936,1,2,215.295,Black Eye Galaxy,,,,,,,,,,,
EPIC 212737443,1,2,253.548,Fried Egg Galaxy,,,,,,,,,,,
EPIC 220492298,1,1,4.497,Cosmos Redshift 7,,,,,,,,,,,
K2-282,1,2,74.154,Knife Edge Galaxy,,,,,,,,,,,
EPIC 220674823,1,2,175.125,Coma Pinwheel Galaxy,,,,,,,,,,,
EPIC 228836835,1,1,128.1,Grasshopper,,,,,,,,,,,
EPIC 229004835,1,1,251.25,Helix Galaxy,,,,,,,,,,,
EPIC 246851721,2,1,168.092,Triangulum Galaxy,,,,,,,,,,,
EPIC 248847494,1,1,185.166,Needle Galaxy,,,,,,,,,,,
EPIC 249893012,1,3,33.148,Condor Galaxy,,,,,,,,,,,
FU Tau,1,1,225.566,Barnard's Galaxy,,,,,,,,,,,
G 196-3,1,1,152.008,Southern Pinwheel Galaxy,,,,,,,,,,,
G 264-012,1,2,75.992,Medusa Merger,,,,,,,,,,,
G 9-40,1,1,206.734,Fireworks Galaxy,,,,,,,,,,,
GJ 1002,1,2,239.207,Little Sombrero Galaxy,,,,,,,,,,,
GJ 1061,1,3,290.115,Eye of God,,,,,,,,,,,
GJ 1132,1,2,147.241,Small Magellanic Cloud,,,,,,,,,,,
GJ 1148,1,2,216.194,Medusa Merger,,,,,,,,,,,
GJ 1151,1,1,96.228,Meathook Galaxy,,,,,,,,,,,
GJ 1214,1,1,135.257,Dusty Hand Galaxy,,,,,,,,,,,
GJ 1252,1,1,289.711,Bode's Galaxy,,,,,,,,,,,
GJ 1265,1,1,8.799,Hockey Stick Galaxies,,,,,,,,,,,
GJ 143,1,2,188.957,Spiderweb Galaxy,,,,,,,,,,,
GJ 15 A,2,2,92.202,Wolf-Lundmark-Melotte,,,,,,,,,,,
GJ 160.2,1,1,266.474,Eye of God,,,,,,,,,,,
GJ 163,1,3,133.472,Dusty Hand Galaxy,,,,,,,,,,,
GJ 179,1,1,143.868,Black Eye Galaxy,,,,,,,,,,,
GJ 180,1,3,74.552,Fireworks Galaxy,,,,,,,,,,,
GJ 2030,1,2,108.756,Black Eye Galaxy,,,,,,,,,,,
GJ 2056,1,1,193.323,Andromeda Galaxy,,,,,,,,,,,
GJ 229,3,2,198.497,Butterfly Galaxies,,,,,,,,,,,
GJ 238,1,1,157.717,Bode's Galaxy,,,,,,,,,,,
GJ 251,1,1,135.465,Topsy Turvy Galaxy,,,,,,,,,,,
GJ 27.1,1,1,299.165,Bode's Galaxy,,,,,,,,,,,
GJ 273,1,2,249.755,Starfish Galaxy,,,,,,,,,,,
GJ 3021,2,1,239.103,Large Magellanic Cloud,,,,,,,,,,,
GJ 3082,1,1,210.816,Antennae Galaxies,,,,,,,,,,,
GJ 3090,1,1,256.969,Comet Galaxy,,,,,,,,,,,
GJ 3138,1,3,131.885,Cocoon Galaxy,,,,,,,,,,,
GJ 317,1,2,253.485,Grasshopper,,,,,,,,,,,
GJ 3222,2,1,83.772,#N/A,,,,,,,,,,,
GJ 328,1,2,132.316,Cosmos Redshift 7,,,,,,,,,,,
GJ 3293,1,4,237.798,Backward Galaxy,,,,,,,,,,,
GJ 3323,1,2,215.797,Cosmos Redshift 7,,,,,,,,,,,
GJ 3341,1,1,63.711,Milky Way,,,,,,,,,,,
GJ 338 B,2,1,37.152,Starfish Galaxy,,,,,,,,,,,
GJ 3470,1,1,226.425,Coma Pinwheel Galaxy,,,,,,,,,,,
GJ 3473,2,2,20.038,Whirlpool Galaxy,,,,,,,,,,,
GJ 3512,1,2,230.599,Whale Galaxy,,,,,,,,,,,
GJ 357,1,3,104.497,Large Magellanic Cloud,,,,,,,,,,,
GJ 3634,1,1,236.863,Godzilla Galaxy,,,,,,,,,,,
GJ 367,1,3,204.863,Coma Pinwheel Galaxy,,,,,,,,,,,
GJ 3779,1,1,269.652,Whale Galaxy,,,,,,,,,,,
GJ 3929,1,2,108.962,Cosmos Redshift 7,,,,,,,,,,,
GJ 393,1,1,96.726,Coma Pinwheel Galaxy,,,,,,,,,,,
GJ 3942,1,1,248.787,Lindsay-Shapley Ring,,,,,,,,,,,
GJ 3988,1,1,70.606,Lindsay-Shapley Ring,,,,,,,,,,,
GJ 3998,1,2,50.791,Small Magellanic Cloud,,,,,,,,,,,
GJ 411,1,2,43.345,Meathook Galaxy,,,,,,,,,,,
GJ 414 A,2,2,8.626,Antennae Galaxies,,,,,,,,,,,
GJ 422,1,1,100.277,Little Sombrero Galaxy,,,,,,,,,,,
GJ 4276,1,1,147.943,UFO Galaxy,,,,,,,,,,,
GJ 433,1,3,46.895,Hoag's Object,,,,,,,,,,,
GJ 436,1,1,167.576,Hockey Stick Galaxies,,,,,,,,,,,
GJ 463,1,1,255.654,Little Sombrero Galaxy,,,,,,,,,,,
GJ 480,1,1,286.623,Hoag's Object,,,,,,,,,,,
GJ 486,1,1,197.402,Eye of Sauron,,,,,,,,,,,
GJ 504,1,1,215.61,Skyrocket Galaxy,,,,,,,,,,,
GJ 514,1,1,241.382,Wolf-Lundmark-Melotte,,,,,,,,,,,
GJ 536,1,1,161.835,Tadpole Galaxy,,,,,,,,,,,
GJ 581,1,3,252.545,Barnard's Galaxy,,,,,,,,,,,
GJ 625,1,1,229.182,Antennae Galaxies,,,,,,,,,,,
GJ 649,1,1,39.474,Cocoon Galaxy,,,,,,,,,,,
GJ 667 C,3,5,118.029,Alcyoneus,,,,,,,,,,,
GJ 674,1,1,46.274,Condor Galaxy,,,,,,,,,,,
GJ 676 A,2,4,232.314,Cosmos Redshift 7,,,,,,,,,,,
GJ 680,2,1,205.9,Cocoon Galaxy,,,,,,,,,,,
GJ 682,1,2,53.856,Knife Edge Galaxy,,,,,,,,,,,
GJ 685,1,1,201.104,Black Eye Galaxy,,,,,,,,,,,
GJ 687,1,2,291.39,Coma Pinwheel Galaxy,,,,,,,,,,,
GJ 720 A,2,1,36.544,Small Magellanic Cloud,,,,,,,,,,,
GJ 724,1,1,249.303,Grasshopper,,,,,,,,,,,
GJ 740,1,1,152.469,#N/A,,,,,,,,,,,
GJ 806,1,2,64.695,Cigar Galaxy,,,,,,,,,,,
GJ 832,1,1,227.471,Hidden Galaxy,,,,,,,,,,,
GJ 849,1,2,127.457,Bode's Galaxy,,,,,,,,,,,
GJ 86,2,1,89.604,Fried Egg Galaxy,,,,,,,,,,,
GJ 876,1,4,177.985,Grasshopper,,,,,,,,,,,
GJ 887,1,2,190.832,Fireworks Galaxy,,,,,,,,,,,
GJ 896 A,2,1,273.422,Milky Way,,,,,,,,,,,
GJ 900 A,3,1,248.277,Bode's Galaxy,,,,,,,,,,,
GJ 9066,1,1,265.31,Fried Egg Galaxy,,,,,,,,,,,
GJ 9404,1,1,208.323,Godzilla Galaxy,,,,,,,,,,,
GJ 96,1,1,39.01,Barnard's Galaxy,,,,,,,,,,,
GJ 9689,1,1,132.549,Porphyrion,,,,,,,,,,,
GJ 9714,1,1,40.225,Milky Way,,,,,,,,,,,
GJ 9827,1,3,248.428,Paramecium Galaxy,,,,,,,,,,,
GPX-1,1,1,127.87,Sculptor Dwarf Galaxy,,,,,,,,,,,
GQ Lup,1,1,276.851,Topsy Turvy Galaxy,,,,,,,,,,,
GSC 06214-00210,1,1,217.58,Needle Galaxy,,,,,,,,,,,
GU Psc,1,1,142.548,Mice Galaxies,,,,,,,,,,,
Gaia-1,1,1,191.374,Andromeda Galaxy,,,,,,,,,,,
Gaia-2,1,1,19.43,Fried Egg Galaxy,,,,,,,,,,,
Gaia22dkvL,1,1,250.015,Malin 1,,,,,,,,,,,
Gl 378,1,1,29.81,Circinus Galaxy,,,,,,,,,,,
Gl 49,2,1,83.682,Knife Edge Galaxy,,,,,,,,,,,
Gl 686,1,1,167.998,Malin 1,,,,,,,,,,,
Gliese 12,1,1,13.873,Antennae Galaxies,,,,,,,,,,,
HAT-P-1,2,1,199.559,Mice Galaxies,,,,,,,,,,,
HAT-P-11,1,2,124.017,Wolf-Lundmark-Melotte,,,,,,,,,,,
HAT-P-12,1,1,8.931,Wolf-Lundmark-Melotte,,,,,,,,,,,
HAT-P-13,1,2,16.048,Sculptor Dwarf Galaxy,,,,,,,,,,,
HAT-P-14,2,1,173.318,Barnard's Galaxy,,,,,,,,,,,
HAT-P-15,1,1,73.522,Fireworks Galaxy,,,,,,,,,,,
HAT-P-16,3,1,283.945,Porphyrion,,,,,,,,,,,
HAT-P-17,1,2,78.67,Antennae Galaxies,,,,,,,,,,,
HAT-P-18,1,1,31.312,Butterfly Galaxies,,,,,,,,,,,
HAT-P-19,1,1,11.23,Antennae Galaxies,,,,,,,,,,,
HAT-P-2,1,2,224.318,Fried Egg Galaxy,,,,,,,,,,,
HAT-P-20,1,1,287.302,Knife Edge Galaxy,,,,,,,,,,,
HAT-P-21,1,1,198.461,Sombrero Galaxy,,,,,,,,,,,
HAT-P-22,2,1,232.545,Cosmos Redshift 7,,,,,,,,,,,
HAT-P-23,1,1,122.678,UFO Galaxy,,,,,,,,,,,
HAT-P-24,2,1,167.575,Condor Galaxy,,,,,,,,,,,
HAT-P-25,1,1,297.361,Eye of Sauron,,,,,,,,,,,
HAT-P-26,1,1,122.745,Condor Galaxy,,,,,,,,,,,
HAT-P-27,2,1,269.433,Backward Galaxy,,,,,,,,,,,
HAT-P-28,1,1,240.162,Mayall's Object,,,,,,,,,,,
HAT-P-29,2,1,47.598,Eye of Sauron,,,,,,,,,,,
HAT-P-3,2,1,122.625,UFO Galaxy,,,,,,,,,,,
HAT-P-30,2,1,197.272,Comet Galaxy,,,,,,,,,,,
HAT-P-31,1,1,41.156,Malin 1,,,,,,,,,,,
HAT-P-32,2,1,32.609,Whale Galaxy,,,,,,,,,,,
HAT-P-33,2,1,42.681,Hockey Stick Galaxies,,,,,,,,,,,
HAT-P-34,1,1,97.49,Circinus Galaxy,,,,,,,,,,,
HAT-P-35,3,1,222.831,Mayall's Object,,,,,,,,,,,
HAT-P-36,1,1,45.26,Meathook Galaxy,,,,,,,,,,,
HAT-P-37,1,1,150.662,Knife Edge Galaxy,,,,,,,,,,,
HAT-P-38,1,1,103.066,Hoag's Object,,,,,,,,,,,
HAT-P-39,2,1,92.38,Mice Galaxies,,,,,,,,,,,
HAT-P-4,2,1,295.177,Knife Edge Galaxy,,,,,,,,,,,
HAT-P-40,1,1,11.777,Mice Galaxies,,,,,,,,,,,
HAT-P-41,2,1,161.217,Comet Galaxy,,,,,,,,,,,
HAT-P-42,1,1,157.42,Mice Galaxies,,,,,,,,,,,
HAT-P-43,1,1,219.998,Black Eye Galaxy,,,,,,,,,,,
HAT-P-44,1,2,144.366,Coma Pinwheel Galaxy,,,,,,,,,,,
HAT-P-45,1,1,65.118,Wolf-Lundmark-Melotte,,,,,,,,,,,
HAT-P-46,1,1,101.194,Sombrero Galaxy,,,,,,,,,,,
HAT-P-49,1,1,61.01,Hoag's Object,,,,,,,,,,,
HAT-P-5,1,1,105.19,Backward Galaxy,,,,,,,,,,,
HAT-P-50,1,1,247.489,Cartwheel Galaxy,,,,,,,,,,,
HAT-P-51,1,1,28.356,Malin 1,,,,,,,,,,,
HAT-P-52,1,1,277.303,Grasshopper,,,,,,,,,,,
HAT-P-53,1,1,201.34,Large Magellanic Cloud,,,,,,,,,,,
HAT-P-54,1,1,96.912,Condor Galaxy,,,,,,,,,,,
HAT-P-55,1,1,264.757,Sculptor Dwarf Galaxy,,,,,,,,,,,
HAT-P-56,1,1,60.566,Condor Galaxy,,,,,,,,,,,
HAT-P-57,3,1,48.851,Skyrocket Galaxy,,,,,,,,,,,
HAT-P-58,1,1,134.992,Andromeda Galaxy,,,,,,,,,,,
HAT-P-59,1,1,238.725,Coma Pinwheel Galaxy,,,,,,,,,,,
HAT-P-6,1,1,225.342,Cartwheel Galaxy,,,,,,,,,,,
HAT-P-60,1,1,12.44,Cocoon Galaxy,,,,,,,,,,,
HAT-P-61,1,1,114.078,Peekaboo Galaxy,,,,,,,,,,,
HAT-P-62,1,1,90.248,Eye of Sauron,,,,,,,,,,,
HAT-P-63,1,1,23.01,Bear Paw Galaxy,,,,,,,,,,,
HAT-P-64,1,1,73.177,Cartwheel Galaxy,,,,,,,,,,,
HAT-P-65,1,1,40.168,Grasshopper,,,,,,,,,,,
HAT-P-66,1,1,126.294,UFO Galaxy,,,,,,,,,,,
HAT-P-67,2,1,147.991,Fireworks Galaxy,,,,,,,,,,,
HAT-P-68,1,1,46.635,Medusa Merger,,,,,,,,,,,
HAT-P-69,1,1,250.265,Paramecium Galaxy,,,,,,,,,,,
HAT-P-7,2,1,223.015,Sculptor Dwarf Galaxy,,,,,,,,,,,
HAT-P-70,1,1,241.602,Mice Galaxies,,,,,,,,,,,
HAT-P-8,3,1,184.703,Cigar Galaxy,,,,,,,,,,,
HAT-P-9,1,1,2.743,Bode's Galaxy,,,,,,,,,,,
HATS-1,1,1,111.304,Black Eye Galaxy,,,,,,,,,,,
HATS-10,1,1,234.877,Tadpole Galaxy,,,,,,,,,,,
HATS-11,1,1,12.595,Barnard's Galaxy,,,,,,,,,,,
HATS-12,1,1,294.815,Fireworks Galaxy,,,,,,,,,,,
HATS-13,1,1,233.679,Starfish Galaxy,,,,,,,,,,,
HATS-14,1,1,70.769,Eye of God,,,,,,,,,,,
HATS-15,1,1,30.499,Sombrero Galaxy,,,,,,,,,,,
HATS-16,1,1,175.143,Butterfly Galaxies,,,,,,,,,,,
HATS-17,1,1,170.029,Medusa Merger,,,,,,,,,,,
HATS-18,1,1,90.695,Meathook Galaxy,,,,,,,,,,,
HATS-2,1,1,15.766,Medusa Merger,,,,,,,,,,,
HATS-22,1,1,58.328,Cosmos Redshift 7,,,,,,,,,,,
HATS-23,1,1,84.463,Black Eye Galaxy,,,,,,,,,,,
HATS-24,1,1,153.921,Paramecium Galaxy,,,,,,,,,,,
HATS-25,1,1,46.26,Black Eye Galaxy,,,,,,,,,,,
HATS-26,1,1,121.558,Eye of Sauron,,,,,,,,,,,
HATS-27,1,1,110.996,Small Magellanic Cloud,,,,,,,,,,,
HATS-28,1,1,66.283,Wolf-Lundmark-Melotte,,,,,,,,,,,
HATS-29,1,1,99.541,Barnard's Galaxy,,,,,,,,,,,
HATS-3,1,1,121.175,Condor Galaxy,,,,,,,,,,,
HATS-30,2,1,66.877,Alcyoneus,,,,,,,,,,,
HATS-31,1,1,75.114,Lindsay-Shapley Ring,,,,,,,,,,,
HATS-32,1,1,207.737,Hockey Stick Galaxies,,,,,,,,,,,
HATS-33,1,1,229.383,Butterfly Galaxies,,,,,,,,,,,
HATS-34,1,1,67.131,Helix Galaxy,,,,,,,,,,,
HATS-35,1,1,290.884,Butterfly Galaxies,,,,,,,,,,,
HATS-36,1,1,246.432,Circinus Galaxy,,,,,,,,,,,
HATS-37 A,2,1,173.672,Comet Galaxy,,,,,,,,,,,
HATS-38,1,1,116.669,Circinus Galaxy,,,,,,,,,,,
HATS-39,1,1,51.947,Cocoon Galaxy,,,,,,,,,,,
HATS-4,1,1,73.944,Starfish Galaxy,,,,,,,,,,,
HATS-40,1,1,133.411,Whale Galaxy,,,,,,,,,,,
HATS-41,1,1,67.94,Circinus Galaxy,,,,,,,,,,,
HATS-42,1,1,50.457,Cosmos Redshift 7,,,,,,,,,,,
HATS-43,1,1,267.033,Dusty Hand Galaxy,,,,,,,,,,,
HATS-44,1,1,78.455,Paramecium Galaxy,,,,,,,,,,,
HATS-45,1,1,18.552,Sombrero Galaxy,,,,,,,,,,,
HATS-46,1,1,154.649,Meathook Galaxy,,,,,,,,,,,
HATS-47,1,1,243.576,Eye of Sauron,,,,,,,,,,,
HATS-48 A,2,1,18.409,Hockey Stick Galaxies,,,,,,,,,,,
HATS-49,1,1,1.918,Cocoon Galaxy,,,,,,,,,,,
HATS-5,1,1,87.673,Eye of God,,,,,,,,,,,
HATS-50,1,1,5.1,Circinus Galaxy,,,,,,,,,,,
HATS-51,1,1,205.994,Black Eye Galaxy,,,,,,,,,,,
HATS-52,1,1,241.134,Medusa Merger,,,,,,,,,,,
HATS-53,1,1,163.826,Malin 1,,,,,,,,,,,
HATS-54,1,1,12.218,Bear Paw Galaxy,,,,,,,,,,,
HATS-55,1,1,99.397,Eye of God,,,,,,,,,,,
HATS-56,1,1,285.197,Cartwheel Galaxy,,,,,,,,,,,
HATS-57,1,1,142.404,Peekaboo Galaxy,,,,,,,,,,,
HATS-58 A,2,1,226.089,Circinus Galaxy,,,,,,,,,,,
HATS-59,1,2,95.033,Eye of God,,,,,,,,,,,
HATS-6,1,1,15.655,Eye of God,,,,,,,,,,,
HATS-60,1,1,150.723,Black Eye Galaxy,,,,,,,,,,,
HATS-61,1,1,186.312,Bode's Galaxy,,,,,,,,,,,
HATS-62,1,1,157.406,Large Magellanic Cloud,,,,,,,,,,,
HATS-63,1,1,103.253,Backward Galaxy,,,,,,,,,,,
HATS-64,1,1,224.665,Little Sombrero Galaxy,,,,,,,,,,,
HATS-65,2,1,92.587,Large Magellanic Cloud,,,,,,,,,,,
HATS-66,1,1,18.546,Hockey Stick Galaxies,,,,,,,,,,,
HATS-67,1,1,261.199,Mice Galaxies,,,,,,,,,,,
HATS-68,1,1,77.455,Large Magellanic Cloud,,,,,,,,,,,
HATS-69,1,1,29.251,Spiderweb Galaxy,,,,,,,,,,,
HATS-7,1,1,9.271,Circinus Galaxy,,,,,,,,,,,
