Planet Name,Planet Radius [Earth Radius],Duration of a day (hours),Planetary Type,Gravity Strength,Has Biosphere,Discovery Year,Star Name,ObjectType
HAT-P-57 b,19.504,37.61,Garden World,Medium,1,2015,HAT-P-57,P
NGTS-10 b,19.504,83.81,Gas Giant,High,0,2016,NGTS-10,P
HAT-P-64 b,19.089,30.68,Gas Giant,High,0,2021,HAT-P-64,P
NGTS-21 b,19.044,106.07,Gas Giant,High,0,2016,NGTS-21,P
HATS-56 b,18.921,31.69,Gas Giant,High,0,2019,HATS-56,P
HATS-67 b,18.887,27.99,Chthonian Planet,Low,1,2018,HATS-67,P
CoRoT-35 b,18.831,23.45,Dwarf Planet,Low,1,2022,CoRoT-35,P
HATS-64 b,18.82,103.88,Chthonian Planet,Low,1,2018,HATS-64,P
HAT-P-69 b,18.786,93.44,Ice Giant,High,0,2019,HAT-P-69,P
1RXS J160929.1-210524 b,18.647,55.03,Proto Planet,Low,1,2008,1RXS J160929.1-210524,P
Kepler-726 b,18.416,21.44,Proto Planet,Low,1,2018,Kepler-726,P
HATS-31 b,18.383,22.83,Dwarf Planet,Low,1,2016,HATS-31,P
HAT-P-60 b,18.282,122.26,Gas Giant,High,0,2021,HAT-P-60,P
NGTS-26 b,18.159,111.74,Gas Giant,High,0,2015,NGTS-26,P
HAT-P-65 b,18.058,53.01,Proto Planet,Low,1,2016,HAT-P-65,P
HATS-11 b,18.03,33.17,Proto Planet,Low,1,2016,HATS-11,P
LHS 3154 b,18,52.69,Dwarf Planet,Low,1,2016,LHS 3154,P
NGTS-25 b,17.934,14.24,Dwarf Planet,Low,1,2015,NGTS-25,P
HAT-P-49 b,17.822,87.63,Proto Planet,Low,1,2014,HAT-P-49,P
HAT-P-66 b,17.822,13.59,Ice Giant,High,0,2016,HAT-P-66,P
NGTS-17 b,17.777,104.94,Gas Giant,High,0,2018,NGTS-17,P
HATS-40 b,17.71,15.41,Ice Giant,High,0,2018,HATS-40,P
HAT-P-39 b,17.609,49.12,Proto Planet,Low,1,2012,HAT-P-39,P
HATS-39 b,17.598,30.3,Ice Giant,High,0,2018,HATS-39,P
NGTS-13 b,17.598,1.28,Dwarf Planet,Low,1,2017,NGTS-13,P
NGTS-20 b,17.486,22.98,Gas Giant,High,0,2013,NGTS-20,P
K2-226 b,17.318,37.88,Ice Giant,High,0,2019,K2-226,P
NGTS-12 b,17.094,27.79,Ice Giant,High,0,2016,NGTS-12,P
HAT-P-40 b,17.038,102.73,Proto Planet,Low,1,2012,HAT-P-40,P
OGLE-2019-BLG-0679L b,16.948,49.07,Gas Giant,High,0,2011,OGLE-2019-BLG-0679L,P
HAT-P-56 b,16.926,58.95,Ice Giant,High,0,2015,HAT-P-56,P
HAT-P-7 b,16.926,66.04,Gas Giant,High,0,2008,HAT-P-7,P
HATS-65 b,16.825,33.88,Proto Planet,Low,1,2018,HATS-65,P
HATS-27 b,16.814,3.23,Gas Giant,High,0,2016,HATS-27,P
KOI-7368 b,16.814,102.45,Proto Planet,Low,1,2017,KOI-7368,P
CoRoT-1 b,16.7,72.48,Ice Giant,High,0,2008,CoRoT-1,P
HAT-P-6 b,16.589,118.93,Proto Planet,Low,1,2007,HAT-P-6,P
GPX-1 b,16.477,72.42,Ice Giant,High,0,2021,GPX-1,P
CoRoT-2 b,16.432,92.97,Dwarf Planet,Low,1,2008,CoRoT-2,P
HATS-35 b,16.41,21.11,Gas Giant,High,0,2016,HATS-35,P
CoRoT-31 b,16.365,117.4,Ice Giant,High,0,2020,CoRoT-31,P
K2-239 d,16.365,5.74,Dwarf Planet,Low,1,2022,K2-239,P
2MASS J02192210-3925225 b,16.141,13.2,Dwarf Planet,Low,1,2015,2MASS J02192210-3925225,P
HAT-P-30 b,16.141,93.21,Ice Giant,High,0,2011,HAT-P-30,P
K2-341 b,16.141,121.84,Gas Giant,High,0,2019,K2-341,P
CoRoT-12 b,16.14,27.75,Dwarf Planet,Low,1,2010,CoRoT-12,P
Kepler-696 b,16.062,57.18,Chthonian Planet,Low,1,2018,Kepler-696,P
CoRoT-11 b,16.03,59.91,Gas Giant,High,0,2010,CoRoT-11,P
HATS-34 b,16.029,15.3,Ice Giant,High,0,2016,HATS-34,P
HAT-P-45 b,15.984,78.9,Garden World,Medium,1,2014,HAT-P-45,P
Kepler-563 b,15.98,95.29,Chthonian Planet,Low,1,2017,Kepler-563,P
HAT-P-14 b,15.917,92.52,Chthonian Planet,Low,1,2010,HAT-P-14,P
NGTS-11 b,15.861,34.41,Garden World,Medium,1,2017,NGTS-11,P
HATS-66 b,15.816,40.1,Gas Giant,High,0,2018,HATS-66,P
CoRoT-36 b,15.805,29.13,Proto Planet,Low,1,2022,CoRoT-36,P
HATS-51 b,15.805,104.68,Garden World,Medium,1,2017,HATS-51,P
HAT-P-8 b,15.693,6.9,Ice Giant,High,0,2008,HAT-P-8,P
HATS-42 b,15.693,119.78,Ice Giant,High,0,2018,HATS-42,P
NGC 2682 YBP 1194 b,15.681,24.67,Garden World,Medium,1,2016,NGC 2682 YBP 1194,P
HATS-24 b,15.637,94.2,Chthonian Planet,Low,1,2017,HATS-24,P
HAT-P-9 b,15.614,15.02,Gas Giant,High,0,2008,HAT-P-9,P
K2-251 b,15.581,119.23,Dwarf Planet,Low,1,1999,K2-251,P
CoRoT-5 b,15.558,106.53,Gas Giant,High,0,2009,CoRoT-5,P
HATS-70 b,15.513,25.77,Dwarf Planet,Low,1,2019,HATS-70,P
HATS-52 b,15.491,59.2,Proto Planet,Low,1,2017,HATS-52,P
HATS-3 b,15.48,112.38,Gas Giant,High,0,2013,HATS-3,P
HAT-P-23 b,15.334,16.1,Chthonian Planet,Low,1,2010,HAT-P-23,P
NGC 2682 YBP 1514 b,15.132,43.05,Gas Giant,High,0,2017,NGC 2682 YBP 1514,P
NGTS-15 b,15.132,101.44,Garden World,Medium,1,2012,NGTS-15,P
HATS-53 b,15.02,106.4,Proto Planet,Low,1,2017,HATS-53,P
HAT-P-35 b,14.93,40.04,Gas Giant,High,0,2011,HAT-P-35,P
HAT-P-58 b,14.93,123.35,Ice Giant,High,0,2021,HAT-P-58,P
HATS-41 b,14.908,52.45,Dwarf Planet,Low,1,2018,HATS-41,P
HATS-18 b,14.897,73.12,Ice Giant,High,0,2016,HATS-18,P
HAT-P-55 b,14.841,87.34,Gas Giant,High,0,2015,HAT-P-55,P
NGTS-18 b,14.83,21.56,Chthonian Planet,Low,1,2019,NGTS-18,P
Gaia-2 b,14.818,49.78,Garden World,Medium,1,2022,Gaia-2,P
HAT-P-1 b,14.785,80.63,Ice Giant,High,0,2006,HAT-P-1,P
HAT-P-53 b,14.773,85.89,Garden World,Medium,1,2015,HAT-P-53,P
BD+60 1417 b,14.684,15.18,Gas Giant,High,0,2021,BD+60 1417,P
CoRoT-18 b,14.68,17.61,Proto Planet,Low,1,2011,CoRoT-18,P
HATS-1 b,14.594,88.44,Proto Planet,Low,1,2012,HATS-1,P
CoRoT-21 b,14.572,21.13,Gas Giant,High,0,2012,CoRoT-21,P
HAT-P-24 b,14.572,42.11,Gas Giant,High,0,2010,HAT-P-24,P
HATS-16 b,14.572,22.64,Chthonian Planet,Low,1,2016,HATS-16,P
Kepler-584 b,14.572,51.5,Garden World,Medium,1,2017,Kepler-584,P
Kepler-697 b,14.572,22.96,Garden World,Medium,1,2018,Kepler-697,P
NGTS-23 b,14.572,24.52,Ice Giant,High,0,2014,NGTS-23,P
CoRoT-19 b,14.46,32.39,Proto Planet,Low,1,2011,CoRoT-19,P
K2-227 b,14.46,49.39,Gas Giant,High,0,2006,K2-227,P
HAT-P-16 b,14.448,113.69,Dwarf Planet,Low,1,2010,HAT-P-16,P
HAT-P-50 b,14.437,93.19,Dwarf Planet,Low,1,2015,HAT-P-50,P
HATS-45 b,14.415,116.01,Proto Planet,Low,1,2018,HATS-45,P
HAT-P-46 b,14.392,5.95,Ice Giant,High,0,2014,HAT-P-46,P
HAT-P-42 b,14.348,56.55,Ice Giant,High,0,2012,HAT-P-42,P
HAT-P-36 b,14.314,101.04,Chthonian Planet,Low,1,2011,HAT-P-36,P
51 Peg b,14.3,120.67,Proto Planet,Low,1,1995,51 Peg,P
DMPP-2 b,14.3,68.86,Gas Giant,High,0,2019,DMPP-2,P
GJ 3512 b,14.3,52.82,Proto Planet,Low,1,2019,GJ 3512,P
HD 10975 b,14.3,110.3,Ice Giant,High,0,2021,HD 10975,P
HIP 54373 b,14.3,15.16,Dwarf Planet,Low,1,2016,HIP 54373,P
HIP 91258 b,14.3,110.81,Ice Giant,High,0,2014,HIP 91258,P
K2-155 b,14.3,75.85,Garden World,Medium,1,2010,K2-155,P
K2-192 b,14.3,32.5,Ice Giant,High,0,2022,K2-192,P
K2-252 b,14.3,99.55,Garden World,Medium,1,2019,K2-252,P
K2-340 b,14.3,83.28,Gas Giant,High,0,2005,K2-340,P
K2-36 c,14.3,61.92,Ice Giant,High,0,2014,K2-36,P
K2-370 b,14.3,82.51,Ice Giant,High,0,2004,K2-370,P
K2-416 b,14.3,14.2,Chthonian Planet,Low,1,2008,K2-416,P
KMT-2017-BLG-2509L b,14.3,70.6,Dwarf Planet,Low,1,2009,KMT-2017-BLG-2509L,P
KMT-2021-BLG-1391L b,14.3,32.35,Ice Giant,High,0,2005,KMT-2021-BLG-1391L,P
KOI-55 b,14.3,107.9,Proto Planet,Low,1,2016,KOI-55,P
OGLE-2017-BLG-1275L b,14.3,46.32,Chthonian Planet,Low,1,2022,OGLE-2017-BLG-1275L,P
HAT-P-4 b,14.28,39.48,Chthonian Planet,Low,1,2007,HAT-P-4,P
HAT-P-13 b,14.258,3.58,Dwarf Planet,Low,1,2009,HAT-P-13,P
47 UMa c,14.2,52.76,Ice Giant,High,0,2001,47 UMa,P
HD 102195 b,14.2,44.68,Garden World,Medium,1,2006,HD 102195,P
K2-189 c,14.2,14.25,Dwarf Planet,Low,1,2008,K2-189,P
K2-197 b,14.2,38.3,Proto Planet,Low,1,1998,K2-197,P
K2-211 b,14.2,119.73,Gas Giant,High,0,1999,K2-211,P
K2-243 b,14.2,104.11,Dwarf Planet,Low,1,2012,K2-243,P
K2-248 b,14.2,21.36,Dwarf Planet,Low,1,2004,K2-248,P
K2-258 b,14.2,80.04,Gas Giant,High,0,2005,K2-258,P
K2-277 b,14.2,69.2,Dwarf Planet,Low,1,2022,K2-277,P
K2-408 b,14.2,25.21,Dwarf Planet,Low,1,2010,K2-408,P
K2-415 b,14.2,67.23,Proto Planet,Low,1,2008,K2-415,P
K2-75 c,14.2,59.29,Proto Planet,Low,1,2009,K2-75,P
K2-80 b,14.2,49.81,Gas Giant,High,0,2003,K2-80,P
KELT-7 b,14.2,106.96,Ice Giant,High,0,1999,KELT-7,P
KMT-2019-BLG-1806L b,14.2,69.46,Proto Planet,Low,1,2023,KMT-2019-BLG-1806L,P
KOI-351 g,14.2,16.84,Dwarf Planet,Low,1,2011,KOI-351,P
KOI-351 h,14.2,91.43,Dwarf Planet,Low,1,2011,KOI-351,P
KOI-3680 b,14.2,88.77,Ice Giant,High,0,2021,KOI-3680,P
NN Ser c,14.2,42.34,Dwarf Planet,Low,1,2021,NN Ser,P
OGLE-2018-BLG-1011L c,14.2,119.09,Ice Giant,High,0,2024,OGLE-2018-BLG-1011L,P
GU Psc b,14.179,106.28,Garden World,Medium,1,2014,GU Psc,P
HATS-25 b,14.123,122.24,Dwarf Planet,Low,1,2016,HATS-25,P
CoRoT-26 b,14.12,31.18,Proto Planet,Low,1,2013,CoRoT-26,P
BD-10 3166 b,14.1,56.17,Proto Planet,Low,1,2000,BD-10 3166,P
BD-11 4672 b,14.1,87.35,Garden World,Medium,1,2014,BD-11 4672,P
Gaia22dkvL b,14.1,119.7,Dwarf Planet,Low,1,2024,Gaia22dkvL,P
HD 103720 b,14.1,21.92,Ice Giant,High,0,2014,HD 103720,P
HD 105779 b,14.1,16.93,Dwarf Planet,Low,1,2022,HD 105779,P
HD 99706 c,14.1,113.45,Garden World,Medium,1,2005,HD 99706,P
HIP 9618 b,14.1,115.88,Dwarf Planet,Low,1,2014,HIP 9618,P
K2-15 b,14.1,7.79,Gas Giant,High,0,2021,K2-15,P
K2-170 c,14.1,86.51,Gas Giant,High,0,2007,K2-170,P
K2-177 b,14.1,23.62,Proto Planet,Low,1,2007,K2-177,P
K2-189 b,14.1,8.11,Garden World,Medium,1,2008,K2-189,P
K2-270 c,14.1,101.41,Gas Giant,High,0,2003,K2-270,P
K2-343 c,14.1,44.57,Ice Giant,High,0,2005,K2-343,P
K2-365 b,14.1,11.95,Chthonian Planet,Low,1,2010,K2-365,P
K2-384 d,14.1,50.27,Dwarf Planet,Low,1,2002,K2-384,P
K2-388 b,14.1,20.91,Dwarf Planet,Low,1,2000,K2-388,P
K2-412 b,14.1,75.23,Gas Giant,High,0,2010,K2-412,P
KIC 5437945 b,14.1,88.39,Gas Giant,High,0,2021,KIC 5437945,P
KMT-2017-BLG-0165L b,14.1,86.15,Dwarf Planet,Low,1,2002,KMT-2017-BLG-0165L,P
KMT-2023-BLG-1431L b,14.1,34.54,Chthonian Planet,Low,1,2009,KMT-2023-BLG-1431L,P
OGLE-2016-BLG-1800L b,14.1,119.87,Gas Giant,High,0,2020,OGLE-2016-BLG-1800L,P
OGLE-2018-BLG-1700L b,14.1,77.74,Proto Planet,Low,1,2024,OGLE-2018-BLG-1700L,P
Pr0211 c,14.1,92.74,Gas Giant,High,0,2022,Pr0211,P
HATS-29 b,14.022,95.49,Gas Giant,High,0,2016,HATS-29,P
HATS-55 b,14.022,92.1,Proto Planet,Low,1,2019,HATS-55,P
K2-239 c,14.011,38.31,Chthonian Planet,Low,1,2021,K2-239,P
BD+55 362 b,14,62.3,Proto Planet,Low,1,2021,BD+55 362,P
BD-210397 b,14,38.63,Gas Giant,High,0,2023,BD-210397,P
GJ 876 c,14,120.32,Dwarf Planet,Low,1,2000,GJ 876,P
HATS-32 b,14,43.87,Gas Giant,High,0,2016,HATS-32,P
HD 96992 b,14,78.37,Proto Planet,Low,1,2008,HD 96992,P
HIP 114933 b,14,18.65,Garden World,Medium,1,2021,HIP 114933,P
K2-128 b,14,36.03,Ice Giant,High,0,2021,K2-128,P
K2-133 e,14,39.19,Proto Planet,Low,1,2009,K2-133,P
K2-146 b,14,98.15,Dwarf Planet,Low,1,2012,K2-146,P
K2-19 b,14,26.88,Dwarf Planet,Low,1,2009,K2-19,P
K2-243 c,14,26.28,Ice Giant,High,0,2012,K2-243,P
K2-255 b,14,71.86,Dwarf Planet,Low,1,2018,K2-255,P
K2-285 b,14,121.52,Ice Giant,High,0,2021,K2-285,P
K2-30 b,14,49.41,Garden World,Medium,1,2006,K2-30,P
K2-382 b,14,54.81,Proto Planet,Low,1,2021,K2-382,P
K2-384 c,14,111.17,Garden World,Medium,1,2002,K2-384,P
K2-384 e,14,106.6,Dwarf Planet,Low,1,2005,K2-384,P
K2-387 b,14,110.3,Proto Planet,Low,1,2010,K2-387,P
KELT-6 c,14,46.77,Gas Giant,High,0,2023,KELT-6,P
KMT-2017-BLG-0673L b,14,18.03,Proto Planet,Low,1,2010,KMT-2017-BLG-0673L,P
KMT-2019-BLG-1552L b,14,57.98,Garden World,Medium,1,2009,KMT-2019-BLG-1552L,P
KMT-2021-BLG-0712L b,14,104.94,Ice Giant,High,0,2009,KMT-2021-BLG-0712L,P
Kepler-1002 b,14,95.79,Gas Giant,High,0,2021,Kepler-1002,P
OGLE-2011-BLG-0173L b,14,29.64,Gas Giant,High,0,2021,OGLE-2011-BLG-0173L,P
OGLE-2012-BLG-0406L b,14,22.7,Ice Giant,High,0,2019,OGLE-2012-BLG-0406L,P
OGLE-2018-BLG-0799L b,14,13.19,Ice Giant,High,0,2022,OGLE-2018-BLG-0799L,P
OGLE-2019-BLG-0960L b,14,120.65,Dwarf Planet,Low,1,2013,OGLE-2019-BLG-0960L,P
HAT-P-44 b,13.922,2.95,Proto Planet,Low,1,2014,HAT-P-44,P
24 Boo b,13.9,22.6,Chthonian Planet,Low,1,2018,24 Boo,P
24 Sex c,13.9,17.82,Ice Giant,High,0,2010,24 Sex,P
55 Cnc b,13.9,37.79,Dwarf Planet,Low,1,1996,55 Cnc,P
7 CMa c,13.9,90.39,Dwarf Planet,Low,1,2019,7 CMa,P
75 Cet c,13.9,44.72,Gas Giant,High,0,2023,75 Cet,P
BD+48 738 b,13.9,96.76,Proto Planet,Low,1,2011,BD+48 738,P
GJ 849 b,13.9,63.1,Garden World,Medium,1,2006,GJ 849,P
HD 109246 b,13.9,35.66,Ice Giant,High,0,2010,HD 109246,P
HD 95127 b,13.9,32.8,Garden World,Medium,1,2022,HD 95127,P
HD 96127 b,13.9,84.29,Dwarf Planet,Low,1,2002,HD 96127,P
HIP 41378 b,13.9,115.79,Proto Planet,Low,1,2016,HIP 41378,P
HIP 65 A b,13.9,47.98,Ice Giant,High,0,2009,HIP 65,P
HIP 67851 b,13.9,20.33,Ice Giant,High,0,2021,HIP 67851,P
HIP 78530 b,13.9,22.18,Gas Giant,High,0,2013,HIP 78530,P
K2-10 b,13.9,103.99,Gas Giant,High,0,2009,K2-10,P
K2-13 b,13.9,28.28,Gas Giant,High,0,2007,K2-13,P
K2-153 b,13.9,35.7,Proto Planet,Low,1,2010,K2-153,P
K2-163 b,13.9,114.55,Gas Giant,High,0,2022,K2-163,P
K2-179 b,13.9,2.74,Garden World,Medium,1,2017,K2-179,P
K2-183 d,13.9,20.9,Dwarf Planet,Low,1,2000,K2-183,P
K2-196 b,13.9,120.65,Dwarf Planet,Low,1,2006,K2-196,P
K2-219 d,13.9,120.08,Dwarf Planet,Low,1,2012,K2-219,P
K2-233 d,13.9,123.23,Garden World,Medium,1,2022,K2-233,P
K2-332 b,13.9,122.95,Gas Giant,High,0,2010,K2-332,P
K2-355 b,13.9,8.97,Dwarf Planet,Low,1,2013,K2-355,P
K2-373 b,13.9,76.03,Chthonian Planet,Low,1,2018,K2-373,P
K2-379 b,13.9,103.49,Dwarf Planet,Low,1,2009,K2-379,P
K2-404 b,13.9,122.14,Gas Giant,High,0,2001,K2-404,P
KMT-2024-BLG-1044L b,13.9,114.95,Proto Planet,Low,1,2021,KMT-2024-BLG-1044L,P
KOI-55 c,13.9,24.54,Gas Giant,High,0,2016,KOI-55,P
OGLE-2018-BLG-0298L b,13.9,1.75,Proto Planet,Low,1,2023,OGLE-2018-BLG-0298L,P
OGLE-2018-BLG-0977L b,13.9,104.95,Dwarf Planet,Low,1,2023,OGLE-2018-BLG-0977L,P
HATS-9 b,13.85,18.34,Garden World,Medium,1,2015,HATS-9,P
HATS-68 b,13.809,25.94,Ice Giant,High,0,2018,HATS-68,P
BD+14 4559 b,13.8,82.44,Dwarf Planet,Low,1,2009,BD+14 4559,P
BD+15 2375 b,13.8,32.96,Garden World,Medium,1,2016,BD+15 2375,P
GJ 179 b,13.8,66.52,Gas Giant,High,0,2009,GJ 179,P
GJ 832 b,13.8,110.69,Dwarf Planet,Low,1,2008,GJ 832,P
GJ 849 c,13.8,103.84,Chthonian Planet,Low,1,2014,GJ 849,P
HD 102956 b,13.8,101.6,Proto Planet,Low,1,2010,HD 102956,P
HD 10647 b,13.8,7.65,Chthonian Planet,Low,1,2006,HD 10647,P
HD 108874 c,13.8,98.48,Proto Planet,Low,1,2005,HD 108874,P
HD 95544 b,13.8,9.75,Proto Planet,Low,1,2010,HD 95544,P
K2-129 b,13.8,53.43,Garden World,Medium,1,2007,K2-129,P
K2-146 c,13.8,7.34,Ice Giant,High,0,2015,K2-146,P
K2-194 b,13.8,95.44,Ice Giant,High,0,2006,K2-194,P
K2-270 b,13.8,61.48,Gas Giant,High,0,2015,K2-270,P
K2-285 c,13.8,74.65,Gas Giant,High,0,2012,K2-285,P
K2-351 b,13.8,87.03,Dwarf Planet,Low,1,2013,K2-351,P
K2-60 b,13.8,35.45,Gas Giant,High,0,2014,K2-60,P
K2-69 b,13.8,121.14,Proto Planet,Low,1,2008,K2-69,P
KELT-9 b,13.8,83.1,Dwarf Planet,Low,1,2014,KELT-9,P
KMT-2018-BLG-1743L b,13.8,121.75,Proto Planet,Low,1,2004,KMT-2018-BLG-1743L,P
KMT-2021-BLG-1547L b,13.8,32.62,Garden World,Medium,1,2021,KMT-2021-BLG-1547L,P
OGLE-2007-BLG-368L b,13.8,53.49,Proto Planet,Low,1,2024,OGLE-2007-BLG-368L,P
OGLE-2018-BLG-0932L b,13.8,17.89,Proto Planet,Low,1,2023,OGLE-2018-BLG-0932L,P
OGLE-2019-BLG-0249L b,13.8,82.38,Garden World,Medium,1,2024,OGLE-2019-BLG-0249L,P
HATS-33 b,13.787,55.93,Proto Planet,Low,1,2016,HATS-33,P
OGLE-2019-BLG-0468L b,13.787,47.67,Dwarf Planet,Low,1,2015,OGLE-2019-BLG-0468L,P
Gaia-1 b,13.776,62.13,Ice Giant,High,0,2022,Gaia-1,P
Kepler-790 b,13.75,49.51,Chthonian Planet,Low,1,2016,Kepler-790,P
BD+15 2940 b,13.7,80.5,Gas Giant,High,0,2013,BD+15 2940,P
HD 100777 b,13.7,38.33,Proto Planet,Low,1,2007,HD 100777,P
HD 96063 b,13.7,77.19,Dwarf Planet,Low,1,2003,HD 96063,P
HD 96167 b,13.7,63.61,Chthonian Planet,Low,1,2001,HD 96167,P
HD 98736 b,13.7,118.03,Ice Giant,High,0,2018,HD 98736,P
HIP 41378 d,13.7,36.61,Dwarf Planet,Low,1,1999,HIP 41378,P
HIP 948 b,13.7,79.78,Gas Giant,High,0,2014,HIP 948,P
HR 2562 b,13.7,23.76,Proto Planet,Low,1,2016,HR 2562,P
HU Aqr AB c,13.7,105.14,Ice Giant,High,0,2003,HU Aqr,P
IC 4651 9122 b,13.7,24.07,Ice Giant,High,0,2018,IC 4651 9122,P
K2-100 b,13.7,60.58,Proto Planet,Low,1,2018,K2-100,P
K2-123 b,13.7,39.19,Garden World,Medium,1,2006,K2-123,P
K2-140 b,13.7,98.67,Garden World,Medium,1,2013,K2-140,P
K2-223 c,13.7,62.34,Dwarf Planet,Low,1,2010,K2-223,P
K2-25 b,13.7,77.67,Dwarf Planet,Low,1,2008,K2-25,P
K2-250 b,13.7,101.92,Gas Giant,High,0,2017,K2-250,P
K2-268 e,13.7,81.25,Ice Giant,High,0,2002,K2-268,P
K2-289 b,13.7,96.89,Dwarf Planet,Low,1,2012,K2-289,P
K2-317 b,13.7,52.15,Chthonian Planet,Low,1,2007,K2-317,P
K2-372 b,13.7,92.71,Dwarf Planet,Low,1,2011,K2-372,P
K2-58 d,13.7,78.42,Ice Giant,High,0,2000,K2-58,P
K2-62 c,13.7,104.09,Gas Giant,High,0,2012,K2-62,P
KELT-20 b,13.7,107.34,Gas Giant,High,0,2008,KELT-20,P
KMT-2019-BLG-0297L b,13.7,78.48,Dwarf Planet,Low,1,2016,KMT-2019-BLG-0297L,P
KMT-2019-BLG-1953L b,13.7,47.56,Ice Giant,High,0,2018,KMT-2019-BLG-1953L,P
KMT-2019-BLG-2974L b,13.7,57.88,Proto Planet,Low,1,2009,KMT-2019-BLG-2974L,P
KMT-2021-BLG-0320L b,13.7,42.6,Chthonian Planet,Low,1,2011,KMT-2021-BLG-0320L,P
KMT-2021-BLG-1077L b,13.7,30.83,Chthonian Planet,Low,1,2021,KMT-2021-BLG-1077L,P
KMT-2021-BLG-1770L b,13.7,50.22,Garden World,Medium,1,2011,KMT-2021-BLG-1770L,P
Kepler-1004 b,13.7,13.19,Proto Planet,Low,1,2013,Kepler-1004,P
Kepler-660 b,13.7,27.78,Garden World,Medium,1,2023,Kepler-660,P
OGLE-2014-BLG-1722L b,13.7,52.74,Gas Giant,High,0,2021,OGLE-2014-BLG-1722L,P
OGLE-2014-BLG-1722L c,13.7,107.62,Gas Giant,High,0,2022,OGLE-2014-BLG-1722L,P
OGLE-2016-BLG-1093L b,13.7,105.99,Garden World,Medium,1,2020,OGLE-2016-BLG-1093L,P
OGLE-2017-BLG-0173L b,13.7,35.13,Gas Giant,High,0,2023,OGLE-2017-BLG-0173L,P
OGLE-2017-BLG-1375L b,13.7,110.07,Chthonian Planet,Low,1,2023,OGLE-2017-BLG-1375L,P
HAT-P-43 b,13.63,10.22,Gas Giant,High,0,2012,HAT-P-43,P
8 UMi b,13.6,87.7,Chthonian Planet,Low,1,2015,8 UMi,P
BD+45 564 b,13.6,76.95,Dwarf Planet,Low,1,2021,BD+45 564,P
HD 10442 b,13.6,16.21,Proto Planet,Low,1,2014,HD 10442,P
HD 108874 b,13.6,0.43,Proto Planet,Low,1,2002,HD 108874,P
HD 98649 b,13.6,89.86,Gas Giant,High,0,2011,HD 98649,P
HIP 109384 b,13.6,93.64,Gas Giant,High,0,2003,HIP 109384,P
HIP 5158 b,13.6,89.14,Ice Giant,High,0,2011,HIP 5158,P
HIP 5158 c,13.6,100.18,Proto Planet,Low,1,2016,HIP 5158,P
HIP 94235 b,13.6,0.38,Ice Giant,High,0,2014,HIP 94235,P
K2-102 b,13.6,111.27,Proto Planet,Low,1,2009,K2-102,P
K2-105 b,13.6,15.21,Proto Planet,Low,1,2005,K2-105,P
K2-161 b,13.6,6.98,Ice Giant,High,0,2007,K2-161,P
K2-195 b,13.6,56.78,Proto Planet,Low,1,2023,K2-195,P
K2-198 d,13.6,19.64,Ice Giant,High,0,2004,K2-198,P
K2-220 b,13.6,78.61,Ice Giant,High,0,2003,K2-220,P
K2-237 b,13.6,22.91,Dwarf Planet,Low,1,2008,K2-237,P
K2-242 b,13.6,29.52,Proto Planet,Low,1,2006,K2-242,P
K2-253 b,13.6,70.04,Garden World,Medium,1,1998,K2-253,P
K2-254 b,13.6,85.77,Ice Giant,High,0,2007,K2-254,P
K2-273 b,13.6,98.67,Gas Giant,High,0,1998,K2-273,P
K2-29 b,13.6,83.09,Proto Planet,Low,1,2011,K2-29,P
