Phylum,Planet Name,Biome
Angiospermae,EPIC 206024342 c,Boreal
Annelida,EPIC 206024342 d,Boreal
Porifera,EPIC 206032309 b,Tropical
Annelida,EPIC 206042996 b,Tropical
Cnidaria,EPIC 206042996 c,Tundra
Porifera,EPIC 206215704 b,Alpine
Cnidaria,EPIC 206317286 b,Scarlet
Chordata,EPIC 206317286 c,Marshland
Platyhelminthes,EPIC 211822797 b,Boreal
Arthropoda,EPIC 211945201 b,Scarlet
Mollusca,EPIC 212297394 b,Boreal
Nematoda,EPIC 212297394 c,Scarlet
Bryophyta,EPIC 212424622 b,Tropical
Arthropoda,EPIC 212499991 b,Tundra
Bryophyta,EPIC 212587672 b,Tundra
Annelida,EPIC 212587672 c,Desert
Bryophyta,EPIC 212624936 b,Tundra
Bryophyta,EPIC 212624936 c,Boreal
Mollusca,EPIC 212737443 b,Temperate
Mollusca,EPIC 212737443 c,Swamp
Platyhelminthes,EPIC 220492298 b,Alpine
Pteridophyta,EPIC 220554210 c,Marshland
Arthropoda,EPIC 220674823 b,Tundra
Platyhelminthes,EPIC 220674823 c,Marshland
Pteridophyta,EPIC 228836835 b,Swamp
Nematoda,EPIC 229004835 b,Temperate
Arthropoda,EPIC 246851721 b,Marshland
Arthropoda,EPIC 248847494 b,Nemoral
Echinodermata,EPIC 249893012 b,Swamp
Arthropoda,EPIC 249893012 c,Scarlet
Chordata,EPIC 249893012 d,Tundra
Arthropoda,FU Tau b,Boreal
Angiospermae,G 196-3 b,Swamp
Arthropoda,G 264-012 b,Desert
Annelida,G 264-012 c,Scarlet
Echinodermata,G 9-40 b,Desert
Mollusca,GJ 1002 b,Alpine
Mollusca,GJ 1002 c,Marshland
Nematoda,GJ 1061 b,Scarlet
Echinodermata,GJ 1061 c,Marshland
Chordata,GJ 1061 d,Tropical
Chordata,GJ 1132 b,Scarlet
Echinodermata,GJ 1132 c,Boreal
Platyhelminthes,GJ 1148 b,Tundra
Echinodermata,GJ 1148 c,Boreal
Nematoda,GJ 1151 c,Tropical
Annelida,GJ 1214 b,Tropical
Chordata,GJ 1252 b,Boreal
Porifera,GJ 1265 b,Tundra
Bryophyta,GJ 143 b,Nemoral
Annelida,GJ 15 A b,Desert
Mollusca,GJ 15 A c,Scarlet
Echinodermata,GJ 160.2 b,Boreal
Platyhelminthes,GJ 163 b,Tundra
Cnidaria,GJ 163 c,Tropical
Mollusca,GJ 163 d,Boreal
Pteridophyta,GJ 179 b,Tundra
Cnidaria,GJ 180 b,Tropical
Annelida,GJ 180 c,Marshland
Bryophyta,GJ 180 d,Boreal
Chordata,GJ 2030 b,Swamp
Annelida,GJ 2030 c,Tropical
Chordata,GJ 2056 b,Scarlet
Annelida,GJ 229 A c,Boreal
Bryophyta,GJ 229 b,Swamp
Cnidaria,GJ 238 b,Boreal
Nematoda,GJ 251 b,Tropical
Pteridophyta,GJ 27.1 b,Swamp
Bryophyta,GJ 273 b,Temperate
Angiospermae,GJ 273 c,Scarlet
Bryophyta,GJ 3021 b,Tundra
Cnidaria,GJ 3082 b,Swamp
Chordata,GJ 3090 b,Scarlet
Nematoda,GJ 3138 b,Desert
Chordata,GJ 3138 c,Scarlet
Arthropoda,GJ 3138 d,Alpine
Bryophyta,GJ 317 b,Boreal
Platyhelminthes,GJ 317 c,Alpine
Platyhelminthes,GJ 3222 b,Marshland
Nematoda,GJ 328 b,Desert
Annelida,GJ 328 c,Tropical
Platyhelminthes,GJ 3293 b,Scarlet
Bryophyta,GJ 3293 c,Desert
Bryophyta,GJ 3293 d,Alpine
Arthropoda,GJ 3293 e,Scarlet
Echinodermata,GJ 3323 b,Swamp
Chordata,GJ 3323 c,Swamp
Pteridophyta,GJ 3341 b,Boreal
Bryophyta,GJ 338 B b,Marshland
Pteridophyta,GJ 3470 b,Marshland
Echinodermata,GJ 3473 b,Desert
Cnidaria,GJ 3473 c,Marshland
Platyhelminthes,GJ 3512 b,Desert
Mollusca,GJ 3512 c,Desert
Arthropoda,GJ 357 b,Marshland
Annelida,GJ 357 c,Scarlet
Platyhelminthes,GJ 357 d,Alpine
Nematoda,GJ 3634 b,Desert
Echinodermata,GJ 367 b,Desert
Mollusca,GJ 367 c,Scarlet
Bryophyta,GJ 367 d,Boreal
Mollusca,GJ 3779 b,Tundra
Pteridophyta,GJ 3929 b,Nemoral
Mollusca,GJ 3929 c,Temperate
Platyhelminthes,GJ 393 b,Desert
Mollusca,GJ 3942 b,Tropical
Platyhelminthes,GJ 3988 b,Swamp
Pteridophyta,GJ 3998 b,Swamp
Cnidaria,GJ 3998 c,Alpine
Bryophyta,GJ 411 b,Alpine
Arthropoda,GJ 414 A b,Boreal
Bryophyta,GJ 414 A c,Marshland
Platyhelminthes,GJ 422 b,Scarlet
Nematoda,GJ 4276 b,Marshland
Annelida,GJ 433 b,Boreal
Porifera,GJ 433 c,Boreal
Platyhelminthes,GJ 433 d,Nemoral
Cnidaria,GJ 436 b,Nemoral
Chordata,GJ 463 b,Alpine
Platyhelminthes,GJ 480 b,Desert
Mollusca,GJ 486 b,Desert
Annelida,GJ 504 b,Tropical
Chordata,GJ 514 b,Alpine
Echinodermata,GJ 536 b,Marshland
Arthropoda,GJ 581 b,Desert
Cnidaria,GJ 581 c,Tropical
Bryophyta,GJ 581 e,Alpine
Arthropoda,GJ 625 b,Temperate
Chordata,GJ 649 b,Tropical
Arthropoda,GJ 667 C b,Marshland
Annelida,GJ 667 C c,Nemoral
Annelida,GJ 667 C e,Boreal
Mollusca,GJ 667 C f,Swamp
Nematoda,GJ 667 C g,Tropical
Annelida,GJ 674 b,Alpine
Cnidaria,GJ 676 A b,Tropical
Echinodermata,GJ 676 A c,Nemoral
Platyhelminthes,GJ 676 A d,Tundra
Annelida,GJ 676 A e,Marshland
Chordata,GJ 680 b,Tropical
Arthropoda,GJ 682 b,Tundra
Platyhelminthes,GJ 682 c,Tropical
Pteridophyta,GJ 685 b,Marshland
Chordata,GJ 687 b,Boreal
Pteridophyta,GJ 687 c,Scarlet
Chordata,GJ 720 A b,Swamp
Echinodermata,GJ 724 b,Tundra
Bryophyta,GJ 740 b,Boreal
Annelida,GJ 806 b,Boreal
Mollusca,GJ 806 c,Swamp
Angiospermae,GJ 832 b,Alpine
Echinodermata,GJ 849 b,Tropical
Nematoda,GJ 849 c,Temperate
Porifera,GJ 86 b,Marshland
Platyhelminthes,GJ 876 b,Alpine
Echinodermata,GJ 876 c,Desert
Echinodermata,GJ 876 d,Desert
Nematoda,GJ 876 e,Tundra
Nematoda,GJ 887 b,Scarlet
Nematoda,GJ 887 c,Alpine
Annelida,GJ 896 A b,Tropical
Arthropoda,GJ 900 b,Marshland
Chordata,GJ 9066 c,Tundra
Cnidaria,GJ 9404 b,Tundra
Cnidaria,GJ 96 b,Alpine
Nematoda,GJ 9689 b,Marshland
Chordata,GJ 9714 b,Alpine
Echinodermata,GJ 9827 b,Alpine
Echinodermata,GJ 9827 c,Temperate
Annelida,GJ 9827 d,Boreal
Nematoda,GPX-1 b,Marshland
Cnidaria,GQ Lup b,Nemoral
Annelida,GSC 06214-00210 b,Tundra
Cnidaria,GU Psc b,Tropical
Mollusca,Gaia-1 b,Temperate
Arthropoda,Gaia-2 b,Alpine
Cnidaria,Gaia22dkvL b,Tropical
Bryophyta,Gl 378 b,Marshland
Mollusca,Gl 49 b,Boreal
Annelida,Gl 686 b,Scarlet
Platyhelminthes,Gliese 12 b,Desert
Arthropoda,HAT-P-1 b,Tundra
Cnidaria,HAT-P-11 b,Tundra
Arthropoda,HAT-P-11 c,Nemoral
Pteridophyta,HAT-P-12 b,Tundra
Cnidaria,HAT-P-13 b,Temperate
Chordata,HAT-P-13 c,Tundra
Nematoda,HAT-P-14 b,Tropical
Mollusca,HAT-P-15 b,Tundra
Chordata,HAT-P-16 b,Boreal
Mollusca,HAT-P-17 b,Marshland
Platyhelminthes,HAT-P-17 c,Tropical
Echinodermata,HAT-P-18 b,Nemoral
Bryophyta,HAT-P-19 b,Tundra
Bryophyta,HAT-P-2 b,Swamp
Pteridophyta,HAT-P-2 c,Temperate
Pteridophyta,HAT-P-20 b,Desert
Bryophyta,HAT-P-21 b,Boreal
Annelida,HAT-P-22 b,Tropical
Annelida,HAT-P-23 b,Tundra
Annelida,HAT-P-24 b,Boreal
Cnidaria,HAT-P-25 b,Alpine
Bryophyta,HAT-P-26 b,Desert
Chordata,HAT-P-27 b,Boreal
Mollusca,HAT-P-28 b,Alpine
Echinodermata,HAT-P-29 b,Boreal
Mollusca,HAT-P-3 b,Swamp
Arthropoda,HAT-P-30 b,Marshland
Cnidaria,HAT-P-31 b,Scarlet
Arthropoda,HAT-P-32 b,Marshland
Chordata,HAT-P-33 b,Boreal
Cnidaria,HAT-P-34 b,Marshland
Nematoda,HAT-P-35 b,Alpine
Mollusca,HAT-P-36 b,Swamp
Chordata,HAT-P-37 b,Boreal
Mollusca,HAT-P-38 b,Desert
Porifera,HAT-P-39 b,Marshland
Nematoda,HAT-P-4 b,Marshland
Mollusca,HAT-P-40 b,Marshland
Echinodermata,HAT-P-41 b,Tropical
Chordata,HAT-P-42 b,Desert
Chordata,HAT-P-43 b,Boreal
Bryophyta,HAT-P-44 b,Swamp
Angiospermae,HAT-P-44 c,Swamp
Cnidaria,HAT-P-45 b,Scarlet
Annelida,HAT-P-46 b,Tundra
Annelida,HAT-P-49 b,Temperate
Annelida,HAT-P-5 b,Swamp
Pteridophyta,HAT-P-50 b,Boreal
Porifera,HAT-P-51 b,Swamp
Nematoda,HAT-P-52 b,Tropical
Porifera,HAT-P-53 b,Swamp
Bryophyta,HAT-P-54 b,Desert
Chordata,HAT-P-55 b,Desert
Porifera,HAT-P-56 b,Swamp
Annelida,HAT-P-57 b,Alpine
Bryophyta,HAT-P-58 b,Scarlet
Nematoda,HAT-P-59 b,Marshland
Bryophyta,HAT-P-6 b,Desert
Chordata,HAT-P-60 b,Desert
Annelida,HAT-P-61 b,Tundra
Chordata,HAT-P-62 b,Alpine
Nematoda,HAT-P-63 b,Scarlet
Chordata,HAT-P-64 b,Scarlet
Nematoda,HAT-P-65 b,Desert
Pteridophyta,HAT-P-66 b,Tropical
Arthropoda,HAT-P-67 b,Tropical
Annelida,HAT-P-68 b,Tropical
Cnidaria,HAT-P-69 b,Swamp
Arthropoda,HAT-P-7 b,Desert
Mollusca,HAT-P-70 b,Temperate
Nematoda,HAT-P-8 b,Alpine
Bryophyta,HAT-P-9 b,Boreal
Pteridophyta,HATS-1 b,Nemoral
Platyhelminthes,HATS-10 b,Desert
Bryophyta,HATS-11 b,Marshland
Mollusca,HATS-12 b,Marshland
Platyhelminthes,HATS-13 b,Tropical
Arthropoda,HATS-14 b,Swamp
Porifera,HATS-15 b,Swamp
Bryophyta,HATS-16 b,Desert
Cnidaria,HATS-17 b,Boreal
Platyhelminthes,HATS-18 b,Alpine
Arthropoda,HATS-2 b,Tundra
Cnidaria,HATS-22 b,Alpine
Bryophyta,HATS-23 b,Swamp
Platyhelminthes,HATS-24 b,Desert
Cnidaria,HATS-25 b,Swamp
Chordata,HATS-26 b,Alpine
Echinodermata,HATS-27 b,Boreal
Bryophyta,HATS-28 b,Marshland
Nematoda,HATS-29 b,Swamp
Porifera,HATS-3 b,Boreal
Cnidaria,HATS-30 b,Desert
Bryophyta,HATS-31 b,Temperate
Annelida,HATS-32 b,Swamp
Pteridophyta,HATS-33 b,Marshland
Annelida,HATS-34 b,Alpine
Platyhelminthes,HATS-35 b,Swamp
Echinodermata,HATS-36 b,Swamp
Mollusca,HATS-37 A b,Scarlet
Arthropoda,HATS-38 b,Tropical
Angiospermae,HATS-39 b,Swamp
Echinodermata,HATS-4 b,Scarlet
Mollusca,HATS-40 b,Tropical
Bryophyta,HATS-41 b,Swamp
Echinodermata,HATS-42 b,Scarlet
Echinodermata,HATS-43 b,Scarlet
Angiospermae,HATS-44 b,Scarlet
Arthropoda,HATS-45 b,Desert
Mollusca,HATS-46 b,Tundra
Echinodermata,HATS-47 b,Swamp
Arthropoda,HATS-48 A b,Marshland
Pteridophyta,HATS-49 b,Boreal
Arthropoda,HATS-5 b,Swamp
Platyhelminthes,HATS-50 b,Marshland
Angiospermae,HATS-51 b,Scarlet
Echinodermata,HATS-52 b,Swamp
Chordata,HATS-53 b,Temperate
Bryophyta,HATS-54 b,Boreal
Mollusca,HATS-55 b,Desert
Arthropoda,HATS-56 b,Boreal
Porifera,HATS-57 b,Temperate
Chordata,HATS-58 A b,Desert
Pteridophyta,HATS-59 b,Marshland
Arthropoda,HATS-59 c,Tundra
Platyhelminthes,HATS-6 b,Tundra
Bryophyta,HATS-60 b,Nemoral
Arthropoda,HATS-61 b,Boreal
Pteridophyta,HATS-62 b,Desert
Annelida,HATS-63 b,Nemoral
Echinodermata,HATS-64 b,Tropical
Annelida,HATS-65 b,Marshland
Nematoda,HATS-66 b,Marshland
Echinodermata,HATS-67 b,Boreal
Chordata,HATS-68 b,Tropical
Annelida,HATS-69 b,Alpine
Platyhelminthes,HATS-7 b,Tropical
Nematoda,HATS-70 b,Marshland
Angiospermae,HATS-71 b,Boreal
Angiospermae,HATS-72 b,Tropical
Angiospermae,HATS-74 A b,Alpine
Porifera,HATS-75 b,Marshland
Nematoda,HATS-76 b,Boreal
Chordata,HATS-77 b,Marshland
Platyhelminthes,HATS-8 b,Alpine
Angiospermae,HATS-9 b,Tundra
Pteridophyta,HD 100546 b,Desert
Pteridophyta,HD 100655 b,Tropical
Chordata,HD 100777 b,Marshland
Nematoda,HD 101581 b,Desert
Nematoda,HD 101581 c,Nemoral
Bryophyta,HD 10180 c,Desert
Cnidaria,HD 10180 d,Swamp
Arthropoda,HD 10180 e,Scarlet
Cnidaria,HD 10180 f,Marshland
Cnidaria,HD 10180 g,Alpine
Platyhelminthes,HD 10180 h,Scarlet
Chordata,HD 101930 b,Marshland
Pteridophyta,HD 102117 b,Nemoral
Angiospermae,HD 102195 b,Swamp
Bryophyta,HD 102272 b,Swamp
Echinodermata,HD 102329 b,Tundra
Platyhelminthes,HD 102329 c,Tundra
Echinodermata,HD 102365 b,Scarlet
Pteridophyta,HD 102843 b,Boreal
Cnidaria,HD 102956 b,Swamp
Pteridophyta,HD 103197 b,Scarlet
Chordata,HD 103720 b,Swamp
Echinodermata,HD 103774 b,Alpine
Arthropoda,HD 103891 b,Scarlet
Arthropoda,HD 103949 b,Scarlet
Bryophyta,HD 104067 b,Boreal
Cnidaria,HD 104067 c,Tropical
Bryophyta,HD 10442 b,Desert
Mollusca,HD 104985 b,Alpine
Bryophyta,HD 105618 b,Marshland
Platyhelminthes,HD 105618 c,Marshland
Chordata,HD 105779 b,Boreal
Nematoda,HD 106252 b,Scarlet
Cnidaria,HD 106270 b,Tundra
Nematoda,HD 106315 b,Alpine
Chordata,HD 106315 c,Tundra
Echinodermata,HD 10647 b,Nemoral
Pteridophyta,HD 106515 A b,Swamp
Arthropoda,HD 106906 b,Nemoral
Platyhelminthes,HD 10697 b,Desert
Bryophyta,HD 107148 b,Marshland
Arthropoda,HD 107148 c,Swamp
Echinodermata,HD 108147 b,Alpine
Pteridophyta,HD 108202 b,Temperate
Chordata,HD 108236 b,Boreal
Arthropoda,HD 108236 c,Tropical
Nematoda,HD 108236 d,Boreal
Nematoda,HD 108236 e,Boreal
Annelida,HD 108236 f,Tundra
Cnidaria,HD 108341 b,Boreal
Porifera,HD 108863 b,Desert
Annelida,HD 108874 b,Desert
Annelida,HD 108874 c,Scarlet
Echinodermata,HD 109246 b,Alpine
Cnidaria,HD 109271 b,Boreal
Arthropoda,HD 109271 c,Tundra
Chordata,HD 109286 b,Tundra
Echinodermata,HD 109749 b,Swamp
Nematoda,HD 10975 b,Scarlet
Cnidaria,HD 109833 b,Temperate
Angiospermae,HD 109833 c,Desert
Cnidaria,HD 109988 b,Tropical
Pteridophyta,HD 110014 b,Alpine
Chordata,HD 110067 b,Swamp
Echinodermata,HD 110067 c,Nemoral
Chordata,HD 110067 d,Tundra
Chordata,HD 110067 e,Scarlet
Mollusca,HD 110067 f,Desert
Mollusca,HD 110067 g,Alpine
Nematoda,HD 110082 b,Marshland
Mollusca,HD 110113 b,Boreal
Annelida,HD 110113 c,Marshland
Platyhelminthes,HD 110537 b,Alpine
Mollusca,HD 11112 b,Alpine
Cnidaria,HD 111232 b,Tundra
Pteridophyta,HD 111232 c,Scarlet
Cnidaria,HD 111591 b,Marshland
Arthropoda,HD 111998 b,Swamp
Platyhelminthes,HD 112300 b,Tundra
Arthropoda,HD 112570 b,Tropical
Platyhelminthes,HD 112640 b,Tundra
Arthropoda,HD 113337 b,Tundra
Cnidaria,HD 113337 c,Boreal
Bryophyta,HD 11343 c,Desert
Cnidaria,HD 113538 b,Boreal
Platyhelminthes,HD 113538 c,Boreal
Bryophyta,HD 113996 b,Nemoral
Arthropoda,HD 114082 b,Tundra
Mollusca,HD 114386 b,Boreal
Platyhelminthes,HD 114729 b,Scarlet
Cnidaria,HD 114783 b,Tundra
Pteridophyta,HD 114783 c,Swamp
Arthropoda,HD 11505 b,Tropical
Annelida,HD 11506 b,Tundra
Echinodermata,HD 11506 c,Desert
Chordata,HD 11506 d,Tundra
Annelida,HD 115404 A b,Tropical
Cnidaria,HD 115404 A c,Desert
Arthropoda,HD 115954 b,Swamp
Porifera,HD 116029 b,Boreal
Echinodermata,HD 116029 c,Scarlet
Pteridophyta,HD 117207 b,Scarlet
Nematoda,HD 11755 b,Desert
Annelida,HD 117618 b,Tropical
Echinodermata,HD 118203 b,Tropical
Echinodermata,HD 118203 c,Scarlet
Porifera,HD 11964 b,Marshland
Cnidaria,HD 11964 c,Boreal
Arthropoda,HD 11977 b,Scarlet
Annelida,HD 120084 b,Alpine
Cnidaria,HD 121504 b,Alpine
Pteridophyta,HD 12235 b,Scarlet
Arthropoda,HD 12235 c,Temperate
Mollusca,HD 122562 c,Temperate
Platyhelminthes,HD 124330 b,Tundra
Cnidaria,HD 12484 b,Alpine
Platyhelminthes,HD 125271 b,Tropical
Nematoda,HD 125390 b,Tundra
Platyhelminthes,HD 125595 b,Boreal
Porifera,HD 125612 b,Swamp
Mollusca,HD 125612 c,Boreal
Cnidaria,HD 125612 d,Scarlet
Echinodermata,HD 12648 b,Swamp
Chordata,HD 126525 b,Tundra
Platyhelminthes,HD 12661 b,Alpine
Cnidaria,HD 12661 c,Alpine
Bryophyta,HD 126614 b,Scarlet
Arthropoda,HD 127506 b,Nemoral
Chordata,HD 128311 b,Swamp
Chordata,HD 128311 c,Tropical
Echinodermata,HD 128356 b,Boreal
Annelida,HD 129445 b,Nemoral
Echinodermata,HD 130322 b,Tundra
Cnidaria,HD 131496 b,Desert
Cnidaria,HD 13167 b,Tropical
Arthropoda,HD 13189 b,Tundra
Echinodermata,HD 132406 b,Desert
Annelida,HD 132563 b,Desert
Platyhelminthes,HD 133131 A b,Tundra
Mollusca,HD 133131 A c,Tropical
Cnidaria,HD 133131 B b,Tundra
Pteridophyta,HD 134060 b,Marshland
Nematoda,HD 134060 c,Boreal
Bryophyta,HD 134606 b,Alpine
Chordata,HD 134606 c,Tundra
Arthropoda,HD 134606 d,Desert
Echinodermata,HD 134606 e,Tropical
Echinodermata,HD 134606 f,Tundra
Pteridophyta,HD 134987 b,Tundra
Nematoda,HD 134987 c,Tundra
Arthropoda,HD 135625 b,Boreal
Pteridophyta,HD 135694 b,Marshland
Annelida,HD 135872 b,Tropical
Chordata,HD 136118 b,Scarlet
Cnidaria,HD 136352 b,Tundra
Echinodermata,HD 136352 c,Tundra
Bryophyta,HD 136352 d,Tundra
Annelida,HD 136418 b,Desert
Bryophyta,HD 136925 b,Nemoral
Cnidaria,HD 13724 c,Alpine
Bryophyta,HD 137388 b,Swamp
Pteridophyta,HD 137496 b,Alpine
Arthropoda,HD 137496 c,Nemoral
Arthropoda,HD 13808 b,Marshland
Echinodermata,HD 13808 c,Temperate
Mollusca,HD 13908 b,Boreal
Arthropoda,HD 13908 c,Alpine
Platyhelminthes,HD 13931 b,Alpine
Nematoda,HD 139357 b,Scarlet
Annelida,HD 1397 b,Swamp
Chordata,HD 14067 b,Alpine
Bryophyta,HD 140901 b,Tundra
Mollusca,HD 140901 c,Temperate
Pteridophyta,HD 141004 b,Scarlet
Annelida,HD 141399 b,Tropical
Cnidaria,HD 141399 c,Desert
Annelida,HD 141399 d,Scarlet
Chordata,HD 141399 e,Alpine
Platyhelminthes,HD 141937 b,Desert
Annelida,HD 142 A d,Nemoral
Annelida,HD 142 b,Boreal
Echinodermata,HD 142 c,Marshland
Pteridophyta,HD 142022 A b,Tundra
Porifera,HD 142245 b,Scarlet
Chordata,HD 142415 b,Marshland
Bryophyta,HD 143105 b,Boreal
Nematoda,HD 143361 b,Temperate
Cnidaria,HD 144899 b,Desert
Nematoda,HD 145377 b,Tundra
Annelida,HD 145457 b,Scarlet
Angiospermae,HD 145675 c,Temperate
Arthropoda,HD 145934 b,Swamp
Annelida,HD 1461 b,Tundra
Mollusca,HD 1461 c,Marshland
Bryophyta,HD 147018 b,Swamp
Annelida,HD 147018 c,Scarlet
Arthropoda,HD 147379 b,Marshland
Arthropoda,HD 147513 b,Tundra
Chordata,HD 14787 b,Swamp
Bryophyta,HD 147873 b,Tropical
Porifera,HD 147873 c,Tundra
Arthropoda,HD 148156 b,Boreal
Platyhelminthes,HD 148164 b,Swamp
