Star Name,Spectral Type,Stellar Radius [Solar Radius],Element Composition,Discovery Year,Host Name
CI Tau,K7,1.88,Hydrogen,2024,CI Tau
COCONUTS-2,M3 V,0.39,Hydrogen,2021,COCONUTS-2 A
CT Cha,K5e,1.68,Hydrogen,2007,CT Cha
CoRoT-1,G0 V,1.11,Hydrogen,2008,CoRoT-1
CoRoT-10,K1 V,0.79,Hydrogen,2010,CoRoT-10
CoRoT-11,F6 V,1.37,Hydrogen,2010,CoRoT-11
CoRoT-12,,1.05,Hydrogen,2010,CoRoT-12
CoRoT-13,G0 V,1.01,Hydrogen,2010,CoRoT-13
CoRoT-14,F9 V,1.21,Hydrogen,2010,CoRoT-14
CoRoT-16,G5 V,1.19,Hydrogen,2011,CoRoT-16
CoRoT-17,G2 V,1.59,Hydrogen,2011,CoRoT-17
CoRoT-18,G9 V,0.88,Hydrogen,2011,CoRoT-18
CoRoT-19,F9 V,1.65,Hydrogen,2011,CoRoT-19
CoRoT-2,,0.91,Hydrogen,2008,CoRoT-2
CoRoT-20,G2 V,1.37,Hydrogen,2011,CoRoT-20
CoRoT-20,,1.37,Hydrogen,2011,CoRoT-20
CoRoT-21,F8 IV,1.95,Hydrogen,2012,CoRoT-21
CoRoT-22,G3 V,1.14,Hydrogen,2014,CoRoT-22
CoRoT-23,G0 V,1.61,Hydrogen,2011,CoRoT-23
CoRoT-24,K1 V,0.86,Hydrogen,2014,CoRoT-24
CoRoT-24,K1 V,0.86,Hydrogen,2014,CoRoT-24
CoRoT-25,F9,1.19,Hydrogen,2013,CoRoT-25
CoRoT-26,G5,1.79,Hydrogen,2013,CoRoT-26
CoRoT-27,G2,1.08,Hydrogen,2014,CoRoT-27
CoRoT-28,G8/9 IV,1.78,Hydrogen,2015,CoRoT-28
CoRoT-29,K0 V,0.9,Hydrogen,2015,CoRoT-29
CoRoT-3,F3 V,1.56,Hydrogen,2008,CoRoT-3
CoRoT-30,G3 V,0.91,Hydrogen,2020,CoRoT-30
CoRoT-31,G2 IV,2.15,Hydrogen,2020,CoRoT-31
CoRoT-35,F6 V,1.65,Hydrogen,2022,CoRoT-35
CoRoT-36,F3 V,1.52,Hydrogen,2022,CoRoT-36
CoRoT-4,,1.17,Hydrogen,2008,CoRoT-4
CoRoT-5,F9 V,1.11,Hydrogen,2009,CoRoT-5
CoRoT-6,F9 V,1.03,Hydrogen,2009,CoRoT-6
CoRoT-7,G9 V,0.83,Hydrogen,2009,CoRoT-7
CoRoT-7,G9 V,0.86,Hydrogen,2009,CoRoT-7
CoRoT-7,G9 V,0.84,Hydrogen,2009,CoRoT-7
CoRoT-8,K1 V,0.8,Hydrogen,2010,CoRoT-8
CoRoT-9,G3 V,0.96,Hydrogen,2009,CoRoT-9
CoRoTID 223977153,G0 VI,0.79,Hydrogen,2017,CoRoTID 223977153
DE CVn,,0.42,Hydrogen,2018,DE CVn
DENIS-P J082303.1-491201,L1.5,,Hydrogen,2013,DENIS-P J082303.1-491201
DH Tau,M0.5,0.27,Hydrogen,2004,DH Tau
DMPP-1,F8 V,1.26,Hydrogen,2019,DMPP-1
DMPP-1,F8 V,1.26,Hydrogen,2019,DMPP-1
DMPP-1,F8 V,1.26,Hydrogen,2019,DMPP-1
DMPP-1,F8 V,1.26,Hydrogen,2019,DMPP-1
DMPP-2,F5 V,1.78,Hydrogen,2019,DMPP-2
DMPP-3,K0 V,0.91,Hydrogen,2019,DMPP-3 A
DMPP-4,F5-F8 V,1.38,Hydrogen,2023,DMPP-4
DP Leo,,0.01,Hydrogen,2009,DP Leo
DS Tuc,G6 V,0.96,Hydrogen,2019,DS Tuc A
EPIC 201170410,,0.28,Hydrogen,2020,EPIC 201170410
EPIC 201238110,,0.37,Hydrogen,2019,EPIC 201238110
EPIC 201427007,,0.94,Hydrogen,2021,EPIC 201427007
EPIC 201497682,,0.55,Hydrogen,2019,EPIC 201497682
EPIC 201595106,,0.98,Hydrogen,2021,EPIC 201595106
K2-166,,1.6,Hydrogen,2019,K2-166
K2-16,K3 V,0.54,Hydrogen,2019,K2-16
EPIC 201757695,,0.66,Hydrogen,2020,EPIC 201757695
K2-50,,0.63,Hydrogen,2019,K2-50
EPIC 201841433,,0.63,Hydrogen,2019,EPIC 201841433
K2-168,,0.83,Hydrogen,2019,K2-168
EPIC 206024342,,0.82,Hydrogen,2019,EPIC 206024342
EPIC 206024342,,1.1,Hydrogen,2019,EPIC 206024342
EPIC 206024342,,1.1,Hydrogen,2019,EPIC 206024342
EPIC 206032309,,0.37,Hydrogen,2019,EPIC 206032309
EPIC 206042996,,0.5,Hydrogen,2019,EPIC 206042996
EPIC 206042996,,0.5,Hydrogen,2019,EPIC 206042996
EPIC 206215704,,0.25,Hydrogen,2019,EPIC 206215704
EPIC 206317286,,0.67,Hydrogen,2019,EPIC 206317286
EPIC 206317286,,0.76,Hydrogen,2019,EPIC 206317286
EPIC 211822797,M0,0.58,Hydrogen,2016,EPIC 211822797
EPIC 211945201,G0,1.39,Hydrogen,2018,EPIC 211945201
EPIC 212297394,,0.8,Hydrogen,2019,EPIC 212297394
EPIC 212297394,,0.8,Hydrogen,2019,EPIC 212297394
EPIC 212424622,,1.22,Hydrogen,2019,EPIC 212424622
EPIC 212499991,,0.76,Hydrogen,2019,EPIC 212499991
EPIC 212587672,,0.98,Hydrogen,2019,EPIC 212587672
EPIC 212587672,,0.98,Hydrogen,2019,EPIC 212587672
EPIC 212624936,,0.93,Hydrogen,2021,EPIC 212624936
EPIC 212624936,,0.93,Hydrogen,2021,EPIC 212624936
EPIC 212737443,K3,0.67,Hydrogen,2019,EPIC 212737443
EPIC 212737443,K3,0.67,Hydrogen,2019,EPIC 212737443
EPIC 220492298,,0.89,Hydrogen,2021,EPIC 220492298
K2-282,,1,Hydrogen,2019,K2-282
EPIC 220674823,G5 V,0.99,Hydrogen,2016,EPIC 220674823
EPIC 220674823,G5 V,0.99,Hydrogen,2016,EPIC 220674823
EPIC 228836835,,0.32,Hydrogen,2021,EPIC 228836835
EPIC 229004835,,1,Hydrogen,2023,EPIC 229004835
EPIC 246851721,F5 V,1.59,Hydrogen,2018,EPIC 246851721
EPIC 248847494,,2.7,Hydrogen,2018,EPIC 248847494
EPIC 249893012,G8 IV/V,1.71,Hydrogen,2020,EPIC 249893012
EPIC 249893012,G8 IV/V,1.71,Hydrogen,2020,EPIC 249893012
EPIC 249893012,G8 IV/V,1.71,Hydrogen,2020,EPIC 249893012
FU Tau,M7.25,,Hydrogen,2008,FU Tau
G 196-3,,0.52,Hydrogen,2024,G 196-3
G 264-012,M4.0 V,0.3,Hydrogen,2021,G 264-012
G 264-012,M4.0 V,0.3,Hydrogen,2021,G 264-012
G 9-40,M2.5 V,0.3,Hydrogen,2019,G 9-40
GJ 1002,M5.5 V,0.14,Hydrogen,2022,GJ 1002
GJ 1002,M5.5 V,0.14,Hydrogen,2022,GJ 1002
GJ 1061,M5.5 V,0.16,Hydrogen,2020,GJ 1061
GJ 1061,M5.5 V,0.16,Hydrogen,2020,GJ 1061
GJ 1061,M5.5 V,0.16,Hydrogen,2020,GJ 1061
GJ 1132,M4.5 V,0.22,Hydrogen,2015,GJ 1132
GJ 1132,M4.5 V,0.21,Hydrogen,2015,GJ 1132
GJ 1148,M5,0.36,Hydrogen,2010,GJ 1148
GJ 1148,M5,0.36,Hydrogen,2010,GJ 1148
GJ 1151,M 4.5V,0.18,Hydrogen,2023,GJ 1151
GJ 1214,M4 V,0.22,Hydrogen,2009,GJ 1214
GJ 1252,M3,0.39,Hydrogen,2020,GJ 1252
GJ 1265,M4.5 V,0.19,Hydrogen,2018,GJ 1265
GJ 143,K4.5,0.7,Hydrogen,2019,GJ 143
GJ 15,M1,0.38,Hydrogen,2014,GJ 15 A
GJ 15,M1,0.38,Hydrogen,2014,GJ 15 A
GJ 160.2,M0 V,0.66,Hydrogen,2014,GJ 160.2
GJ 163,M,0.41,Hydrogen,2013,GJ 163
GJ 163,M,0.41,Hydrogen,2013,GJ 163
GJ 163,M,0.41,Hydrogen,2013,GJ 163
GJ 179,M3.5 V,0.38,Hydrogen,2009,GJ 179
GJ 180,M2 V,0.41,Hydrogen,2014,GJ 180
GJ 180,M2 V,0.41,Hydrogen,2014,GJ 180
GJ 180,M3,0.41,Hydrogen,2014,GJ 180
GJ 2030,,2.24,Hydrogen,2022,GJ 2030
GJ 2030,,2.24,Hydrogen,2022,GJ 2030
GJ 2056,M0V:,0.71,Hydrogen,2020,GJ 2056
GJ 229,,0.46,Hydrogen,2020,GJ 229
GJ 229,M1/M2 V,0.46,Hydrogen,2020,GJ 229
GJ 238,M2.5 V,0.43,Hydrogen,2024,GJ 238
GJ 251,M3.0 V,0.36,Hydrogen,2020,GJ 251
GJ 27.1,M0.5 V,0.52,Hydrogen,2014,GJ 27.1
GJ 273,M3.5,0.29,Hydrogen,2017,GJ 273
GJ 273,M3.5,0.29,Hydrogen,2017,GJ 273
GJ 3021,G6 V,0.9,Hydrogen,2000,GJ 3021
GJ 3082,M4,0.47,Hydrogen,2020,GJ 3082
GJ 3090,M2 V,0.52,Hydrogen,2022,GJ 3090
GJ 3138,M0,0.5,Hydrogen,2017,GJ 3138
GJ 3138,M0,0.5,Hydrogen,2017,GJ 3138
GJ 3138,M0,0.5,Hydrogen,2017,GJ 3138
GJ 317,M2.5 V,0.43,Hydrogen,2007,GJ 317
GJ 317,M2.5 V,0.43,Hydrogen,2007,GJ 317
HIP 15799,K0V,0.93,Hydrogen,2022,GJ 3222
GJ 328,M0.0,0.63,Hydrogen,2013,GJ 328
GJ 328,M0.0,0.63,Hydrogen,2013,GJ 328
GJ 3293,M2.5,0.4,Hydrogen,2015,GJ 3293
GJ 3293,M2.5,0.4,Hydrogen,2015,GJ 3293
GJ 3293,M2.5,0.4,Hydrogen,2015,GJ 3293
GJ 3293,M2.5,0.4,Hydrogen,2015,GJ 3293
GJ 3323,M4,0.12,Hydrogen,2017,GJ 3323
GJ 3323,M4,0.12,Hydrogen,2017,GJ 3323
GJ 3341,M2.5,0.44,Hydrogen,2015,GJ 3341
GJ 338,M0 V,0.58,Hydrogen,2020,GJ 338 B
GJ 3470,M1.5,0.5,Hydrogen,2012,GJ 3470
GJ 3473,M4,0.36,Hydrogen,2020,GJ 3473
GJ 3473,M4,0.36,Hydrogen,2020,GJ 3473
GJ 3512,M5.5 V,0.14,Hydrogen,2019,GJ 3512
GJ 3512,M5.5 V,0.14,Hydrogen,2019,GJ 3512
GJ 357,M2.5 V,0.34,Hydrogen,2019,GJ 357
GJ 357,M2.5 V,0.34,Hydrogen,2019,GJ 357
GJ 357,M2.5 V,0.34,Hydrogen,2019,GJ 357
GJ 3634,M2.5,0.43,Hydrogen,2010,GJ 3634
GJ 367,M1.0 V,0.46,Hydrogen,2021,GJ 367
GJ 367,M1.0 V,0.46,Hydrogen,2021,GJ 367
GJ 367,M1.0 V,0.46,Hydrogen,2021,GJ 367
GJ 3779,M4.0 V,0.28,Hydrogen,2018,GJ 3779
GJ 3929,M3.5 V,0.32,Hydrogen,2022,GJ 3929
GJ 3929,M3.5 V,0.32,Hydrogen,2022,GJ 3929
GJ 393,M2.0 V,0.43,Hydrogen,2021,GJ 393
GJ 3942,M0,0.61,Hydrogen,2017,GJ 3942
GJ 3988,M4.5 V,0.2,Hydrogen,2023,GJ 3988
GJ 3998,M1,0.49,Hydrogen,2016,GJ 3998
GJ 3998,M1,0.49,Hydrogen,2016,GJ 3998
GJ 411,M1.5 V,0.37,Hydrogen,2019,GJ 411
GJ 414,K7 V,0.68,Hydrogen,2021,GJ 414 A
GJ 414,K7 V,0.68,Hydrogen,2021,GJ 414 A
GJ 422,M3.5 V,0.37,Hydrogen,2014,GJ 422
GJ 4276,M4.0,0.41,Hydrogen,2019,GJ 4276
GJ 433,M1.5 V,0.5,Hydrogen,2011,GJ 433
GJ 433,M1.5 V,0.47,Hydrogen,2011,GJ 433
GJ 433,M2V,0.47,Hydrogen,2011,GJ 433
GJ 436,M2.5 V,0.46,Hydrogen,2004,GJ 436
GJ 463,M3 V,0.49,Hydrogen,2022,GJ 463
GJ 480,M3.5 Ve,0.46,Hydrogen,2020,GJ 480
GJ 486,M3.5 V,0.32,Hydrogen,2021,GJ 486
GJ 504,G0 V,1.26,Hydrogen,2013,GJ 504
GJ 514,M0.5-1.0 V,0.5,Hydrogen,2022,GJ 514
GJ 536,M1 V,0.5,Hydrogen,2016,GJ 536
GJ 581,M3 V,0.33,Hydrogen,2005,GJ 581
GJ 581,M3 V,0.33,Hydrogen,2005,GJ 581
GJ 581,M3 V,0.33,Hydrogen,2005,GJ 581
GJ 625,M2,0.31,Hydrogen,2017,GJ 625
GJ 649,M1.0,0.5,Hydrogen,2009,GJ 649
GJ 667,M1.5 V,,Hydrogen,2012,GJ 667 C
GJ 667,M1.5 V,,Hydrogen,2012,GJ 667 C
GJ 667,M1.5 V,,Hydrogen,2012,GJ 667 C
GJ 667,M1.5 V,,Hydrogen,2012,GJ 667 C
GJ 667,M1.5 V,,Hydrogen,2012,GJ 667 C
GJ 674,M2.5,0.36,Hydrogen,2007,GJ 674
GJ 676,M0 V,0.69,Hydrogen,2010,GJ 676 A
GJ 676,M0,0.65,Hydrogen,2010,GJ 676 A
GJ 676,M0 V,0.65,Hydrogen,2010,GJ 676 A
GJ 676,M0 V,0.65,Hydrogen,2010,GJ 676 A
HIP 86057,K5,0.46,Hydrogen,2022,GJ 680
GJ 682,M3.5 V,0.3,Hydrogen,2014,GJ 682
GJ 682,M3.5 V,0.3,Hydrogen,2014,GJ 682
GJ 685,M0.5,0.54,Hydrogen,2019,GJ 685
GJ 687,M3 V,0.42,Hydrogen,2014,GJ 687
GJ 687,M3.0V,0.42,Hydrogen,2014,GJ 687
GJ 720,M0.5 V,0.56,Hydrogen,2021,GJ 720 A
GJ 724,M1.0 V,0.52,Hydrogen,2023,GJ 724
GJ 740,M1.0 V,0.56,Hydrogen,2021,GJ 740
GJ 806,M1.5 V,0.41,Hydrogen,2023,GJ 806
GJ 806,M1.5 V,0.41,Hydrogen,2023,GJ 806
GJ 832,M2/3 V,0.44,Hydrogen,2008,GJ 832
GJ 849,M3.5,0.45,Hydrogen,2006,GJ 849
GJ 849,M3.5,0.45,Hydrogen,2006,GJ 849
GJ 86,K1V,0.77,Hydrogen,1999,GJ 86
GJ 876,M4 V,0.3,Hydrogen,1998,GJ 876
GJ 876,M4 V,0.3,Hydrogen,1998,GJ 876
GJ 876,M4 V,0.3,Hydrogen,1998,GJ 876
GJ 876,M2.5V,0.3,Hydrogen,1998,GJ 876
GJ 887,M1 V,0.47,Hydrogen,2020,GJ 887
GJ 887,M1 V,0.47,Hydrogen,2020,GJ 887
GJ 896,M3.5 V,0.39,Hydrogen,2022,GJ 896 A
GJ 900,K7,0.72,Hydrogen,2024,GJ 900 A
GJ 9066,M5.0 V,0.16,Hydrogen,2020,GJ 9066
GJ 9404,M2V,0.63,Hydrogen,2023,GJ 9404
GJ 96,M2,0.58,Hydrogen,2018,GJ 96
GJ 9689,M0.5,0.57,Hydrogen,2020,GJ 9689
HIP 103768,K5V,0.66,Hydrogen,2022,GJ 9714
GJ 9827,K7 V,0.6,Hydrogen,2017,GJ 9827
GJ 9827,K7 V,0.6,Hydrogen,2017,GJ 9827
GJ 9827,K7 V,0.6,Hydrogen,2017,GJ 9827
GPX-1,F2,1.56,Hydrogen,2021,GPX-1
GQ Lup,K7e V,1.94,Hydrogen,2004,GQ Lup
GSC 06214-00210,K7,0.9,Hydrogen,2010,GSC 06214-00210
GU Psc,M3,0.45,Hydrogen,2014,GU Psc
Gaia-1,,0.95,Hydrogen,2022,Gaia-1
Gaia-2,,1.06,Hydrogen,2022,Gaia-2
Gaia22dkvL,,,Hydrogen,2024,Gaia22dkvL
Gl 378,M1,0.56,Hydrogen,2019,Gl 378
Gl 49,M1.5 V,0.51,Hydrogen,2019,Gl 49
Gl 686,M1.0 V,0.43,Hydrogen,2018,Gl 686
Gliese 12,M3.0 V,0.26,Hydrogen,2024,Gliese 12
HAT-P-1,G0 V,1.17,Hydrogen,2006,HAT-P-1
HAT-P-11,K4,0.68,Hydrogen,2008,HAT-P-11
HAT-P-11,K4,0.68,Hydrogen,2008,HAT-P-11
HAT-P-12,K4,0.7,Hydrogen,2009,HAT-P-12
HAT-P-13,G4,1.76,Hydrogen,2009,HAT-P-13
HAT-P-13,G4,1.76,Hydrogen,2009,HAT-P-13
HAT-P-14,F5 V,1.82,Hydrogen,2010,HAT-P-14
HAT-P-15,G5,1.07,Hydrogen,2010,HAT-P-15
HAT-P-16,F8,1.24,Hydrogen,2010,HAT-P-16
HAT-P-17,,0.84,Hydrogen,2010,HAT-P-17
HAT-P-17,,0.84,Hydrogen,2010,HAT-P-17
HAT-P-18,K2,0.75,Hydrogen,2010,HAT-P-18
HAT-P-19,K1,0.77,Hydrogen,2010,HAT-P-19
HAT-P-2,F8,1.39,Hydrogen,2007,HAT-P-2
HAT-P-2,F8,1.42,Hydrogen,2007,HAT-P-2
HAT-P-20,K3,0.69,Hydrogen,2010,HAT-P-20
HAT-P-21,G3,1.21,Hydrogen,2010,HAT-P-21
HAT-P-22,G5 V,1.11,Hydrogen,2010,HAT-P-22
HAT-P-23,G0,1.2,Hydrogen,2010,HAT-P-23
HAT-P-24,F8,1.32,Hydrogen,2010,HAT-P-24
HAT-P-25,G5,0.92,Hydrogen,2010,HAT-P-25
HAT-P-26,K1,0.87,Hydrogen,2010,HAT-P-26
HAT-P-27,G8,0.86,Hydrogen,2011,HAT-P-27
HAT-P-28,G3,1.1,Hydrogen,2011,HAT-P-28
HAT-P-29,F8,1.3,Hydrogen,2011,HAT-P-29
HAT-P-3,K1,0.86,Hydrogen,2007,HAT-P-3
HAT-P-30,F7,1.31,Hydrogen,2011,HAT-P-30
HAT-P-31,,1.39,Hydrogen,2011,HAT-P-31
HAT-P-32,,1.37,Hydrogen,2011,HAT-P-32
HAT-P-33,F4,1.64,Hydrogen,2011,HAT-P-33
HAT-P-34,,1.53,Hydrogen,2011,HAT-P-34
HAT-P-35,,1.44,Hydrogen,2011,HAT-P-35
HAT-P-36,G5 V,1.04,Hydrogen,2011,HAT-P-36
HAT-P-37,,0.88,Hydrogen,2011,HAT-P-37
HAT-P-38,G5,0.92,Hydrogen,2012,HAT-P-38
HAT-P-39,,1.76,Hydrogen,2012,HAT-P-39
HAT-P-4,F,1.62,Hydrogen,2007,HAT-P-4
HAT-P-40,,1.94,Hydrogen,2012,HAT-P-40
HAT-P-41,,2.05,Hydrogen,2012,HAT-P-41
HAT-P-42,,1.41,Hydrogen,2012,HAT-P-42
HAT-P-43,F9,1.08,Hydrogen,2012,HAT-P-43
HAT-P-44,,0.95,Hydrogen,2014,HAT-P-44
HAT-P-44,,0.95,Hydrogen,2014,HAT-P-44
HAT-P-45,,1.32,Hydrogen,2014,HAT-P-45
HAT-P-46,,1.4,Hydrogen,2014,HAT-P-46
HAT-P-49,F3,1.87,Hydrogen,2014,HAT-P-49
HAT-P-5,G,1.12,Hydrogen,2007,HAT-P-5
HAT-P-50,F5,1.7,Hydrogen,2015,HAT-P-50
HAT-P-51,G7,0.99,Hydrogen,2015,HAT-P-51
HAT-P-52,K1,0.89,Hydrogen,2015,HAT-P-52
HAT-P-53,,1.21,Hydrogen,2015,HAT-P-53
HAT-P-54,K7,0.62,Hydrogen,2015,HAT-P-54
HAT-P-55,,1.1,Hydrogen,2015,HAT-P-55
HAT-P-56,F8,1.43,Hydrogen,2015,HAT-P-56
HAT-P-57,A8 V,1.85,Hydrogen,2015,HAT-P-57
HAT-P-58,,1.53,Hydrogen,2021,HAT-P-58
HAT-P-59,,1.1,Hydrogen,2021,HAT-P-59
HAT-P-6,,1.62,Hydrogen,2007,HAT-P-6
HAT-P-60,,2.2,Hydrogen,2021,HAT-P-60
HAT-P-61,,0.94,Hydrogen,2021,HAT-P-61
HAT-P-62,,1.17,Hydrogen,2021,HAT-P-62
HAT-P-63,,0.97,Hydrogen,2021,HAT-P-63
HAT-P-64,,1.74,Hydrogen,2021,HAT-P-64
HAT-P-65,G2,1.67,Hydrogen,2016,HAT-P-65
HAT-P-66,G0,1.88,Hydrogen,2016,HAT-P-66
HAT-P-67,,2.55,Hydrogen,2017,HAT-P-67
HAT-P-68,K,0.67,Hydrogen,2020,HAT-P-68
HAT-P-69,,1.93,Hydrogen,2019,HAT-P-69
HAT-P-7,,2,Hydrogen,2008,HAT-P-7
HAT-P-70,,1.86,Hydrogen,2019,HAT-P-70
HAT-P-8,F6,1.57,Hydrogen,2008,HAT-P-8
HAT-P-9,F7,1.34,Hydrogen,2008,HAT-P-9
HATS-1,,1.04,Hydrogen,2012,HATS-1
HATS-10,,1.1,Hydrogen,2015,HATS-10
HATS-11,G0,1.54,Hydrogen,2016,HATS-11
HATS-12,F,1.17,Hydrogen,2016,HATS-12
HATS-13,,0.89,Hydrogen,2015,HATS-13
HATS-14,,0.93,Hydrogen,2015,HATS-14
HATS-15,G9 V,0.92,Hydrogen,2016,HATS-15
HATS-16,G3 V,1.24,Hydrogen,2016,HATS-16
HATS-17,G V,1.09,Hydrogen,2016,HATS-17
HATS-18,G V,1.02,Hydrogen,2016,HATS-18
HATS-2,K,0.88,Hydrogen,2013,HATS-2
HATS-22,K V,0.69,Hydrogen,2017,HATS-22
HATS-23,G V,1.2,Hydrogen,2017,HATS-23
HATS-24,F V,1.12,Hydrogen,2017,HATS-24
HATS-25,G,1.11,Hydrogen,2016,HATS-25
HATS-26,F,2.04,Hydrogen,2016,HATS-26
HATS-27,F,1.74,Hydrogen,2016,HATS-27
HATS-28,G,0.92,Hydrogen,2016,HATS-28
HATS-29,G,1.07,Hydrogen,2016,HATS-29
HATS-3,F,1.4,Hydrogen,2013,HATS-3
