Planet Name,Star Name,Orbital Period [days],
K2-285 e,K2-285,14.76289,
K2-286 b,K2-286,27.359,
K2-287 b,K2-287,14.893291,
K2-288 B b,K2-288,31.393463,
K2-289 b,K2-289,13.156969,
K2-29 b,K2-29,3.2588321,
K2-290 b,K2-290,9.21165,
K2-290 c,K2-290,48.36685,
K2-291 b,K2-291,2.225177,
K2-292 b,K2-292,16.9841,
K2-293 b,K2-293,13.1225,
K2-294 b,K2-294,2.50387,
K2-295 b,K2-295,4.024867,
K2-3 b,K2-3,10.0546535,
K2-3 c,K2-3,24.646729,
K2-3 d,K2-3,44.55603,
K2-30 b,K2-30,4.098503,
K2-308 b,K2-308,3.38628,
K2-31 b,K2-31,1.25785,
K2-312 c,HD 80653,921.2,
K2-315 b,K2-315,3.1443189,
K2-316 b,K2-316,1.133,
K2-316 c,K2-316,5.26,
K2-317 b,K2-317,6.22,
K2-318 b,K2-318,7.01,
K2-319 b,K2-319,26.68,
K2-32 b,K2-32,8.992,
K2-32 c,K2-32,20.66093,
K2-32 d,K2-32,31.71701,
K2-32 e,K2-32,4.34934,
K2-320 b,K2-320,1.995,
K2-321 b,K2-321,2.2979749,
K2-322 b,K2-322,8.205,
K2-323 b,K2-323,24.93,
K2-324 b,K2-324,3.262,
K2-325 b,K2-325,6.93,
K2-326 b,K2-326,1.256,
K2-329 b,K2-329,12.4551225,
K2-33 b,K2-33,5.424865,
K2-330 b,K2-330,13.774798,
K2-331 b,K2-331,9.398977,
K2-331 c,K2-331,22.996591,
K2-332 b,K2-332,17.70632,
K2-333 b,K2-333,14.759287,
K2-334 b,K2-334,5.113981,
K2-335 b,K2-335,12.283211,
K2-336 b,K2-336,21.194733,
K2-337 b,K2-337,16.273563,
K2-338 b,K2-338,3.850614,
K2-339 b,K2-339,19.507428,
K2-34 b,K2-34,2.9956348,
K2-340 b,K2-340,29.740451,
K2-341 b,K2-341,36.552551,
K2-342 b,K2-342,11.561052,
K2-343 b,K2-343,2.787174,
K2-343 c,K2-343,7.676972,
K2-344 b,K2-344,3.35585,
K2-345 b,K2-345,10.367437,
K2-346 b,K2-346,26.201446,
K2-347 b,K2-347,7.187257,
K2-348 b,K2-348,4.688418,
K2-348 c,K2-348,12.550171,
K2-349 b,K2-349,9.032178,
K2-35 b,K2-35,2.399964,
K2-35 c,K2-35,5.608352,
K2-350 b,K2-350,4.163873,
K2-350 c,K2-350,19.991944,
K2-351 b,K2-351,7.806164,
K2-352 b,K2-352,3.665912,
K2-352 c,K2-352,8.234885,
K2-352 d,K2-352,14.871387,
K2-353 b,K2-353,15.466805,
K2-354 b,K2-354,3.793306,
K2-355 b,K2-355,5.7385647,
K2-356 b,K2-356,21.0267366,
K2-357 b,K2-357,16.3488637,
K2-358 b,K2-358,11.2510285,
K2-36 b,K2-36,1.422614,
K2-36 c,K2-36,5.340888,
K2-360 c,EPIC 201595106,9.79692,
K2-365 b,K2-365,23.448172,
K2-366 b,K2-366,15.937039,
K2-367 b,K2-367,20.645099,
K2-368 b,K2-368,5.025598,
K2-368 c,K2-368,9.660186,
K2-368 d,K2-368,20.201085,
K2-369 b,K2-369,5.761612,
K2-37 b,K2-37,4.44117,
K2-37 c,K2-37,6.42904,
K2-37 d,K2-37,14.09189,
K2-370 b,K2-370,2.14084,
K2-371 b,K2-371,3.114905,
K2-372 b,K2-372,9.844077,
K2-373 b,K2-373,11.02066,
K2-374 b,K2-374,4.521953,
K2-374 c,K2-374,16.43445,
K2-375 b,K2-375,14.453895,
K2-376 b,K2-376,5.776475,
K2-377 b,K2-377,12.832235,
K2-378 b,K2-378,2.060438,
K2-379 b,K2-379,8.777247,
K2-38 b,K2-38,4.01593,
K2-38 c,K2-38,10.56103,
K2-380 b,K2-380,9.401312,
K2-381 b,K2-381,7.9389334,
K2-381 c,K2-381,16.034656,
K2-381 d,K2-381,26.803023,
K2-382 b,K2-382,21.700156,
K2-383 b,K2-383,1.865962,
K2-384 b,K2-384,2.231527,
K2-384 c,K2-384,4.194766,
K2-384 d,K2-384,6.679582,
K2-384 e,K2-384,9.715043,
K2-384 f,K2-384,13.62749,
K2-385 b,K2-385,2.380867,
K2-386 b,K2-386,7.473223,
K2-387 b,K2-387,28.735327,
K2-388 b,K2-388,6.339069,
K2-389 b,K2-389,8.584043,
K2-389 c,K2-389,20.851337,
K2-39 b,K2-39,4.60543,
K2-390 b,K2-390,3.312792,
K2-391 b,K2-391,4.622654,
K2-392 b,K2-392,15.398723,
K2-393 b,K2-393,10.413181,
K2-394 b,K2-394,5.095717,
K2-395 b,K2-395,4.803352,
K2-395 c,K2-395,8.491282,
K2-396 b,K2-396,0.673862,
K2-396 c,K2-396,25.76051,
K2-397 b,K2-397,3.572326,
K2-398 b,K2-398,6.393025,
K2-398 c,K2-398,18.787839,
K2-4 b,K2-4,10.003417,
K2-400 b,K2-400,3.865053,
K2-401 b,K2-401,6.293099,
K2-402 b,K2-402,17.27474,
K2-403 b,K2-403,33.589979,
K2-404 b,K2-404,13.115365,
K2-405 b,K2-405,3.435471,
K2-406 b,K2-406,22.549406,
K2-407 b,K2-407,4.941907,
K2-407 c,K2-407,9.22453,
K2-408 b,K2-408,20.978959,
K2-409 b,K2-409,1.908084,
K2-411 b,K2-411,3.2141,
K2-412 b,K2-412,5.9382,
K2-413 b,K2-413,0.8094,
K2-413 c,K2-413,5.3301,
K2-414 b,K2-414,4.3696,
K2-414 c,K2-414,6.669,
K2-415 b,K2-415,4.0179694,
K2-416 b,K2-416,13.102,
K2-417 b,K2-417,6.535,
K2-419 A b,K2-419,20.35847252,
K2-42 b,K2-42,6.68796,
K2-43 b,K2-43,3.471149,
K2-43 c,K2-43,2.198884,
K2-44 b,K2-44,5.657,
K2-45 b,K2-45,1.7292684,
K2-46 b,K2-46,19.1541,
K2-47 b,K2-47,31.6372,
K2-48 b,K2-48,20.5065,
K2-49 b,K2-49,2.77065,
K2-5 b,K2-5,5.73594,
K2-5 c,K2-5,10.93241,
K2-50 b,K2-50,8.7529,
K2-52 b,K2-52,3.535055,
K2-53 b,K2-53,12.20772,
K2-54 b,K2-54,9.7833,
K2-55 b,K2-55,2.849258,
K2-57 b,K2-57,9.0073,
K2-58 b,K2-58,7.05254,
K2-58 c,K2-58,2.53726,
K2-58 d,K2-58,22.8827,
K2-59 b,K2-59,20.6921,
K2-59 c,K2-59,11.2954,
K2-6 b,K2-6,30.94191,
K2-60 b,K2-60,3.00265,
K2-61 b,K2-61,2.57302,
K2-62 b,K2-62,6.67202,
K2-62 c,K2-62,16.1966,
K2-63 b,K2-63,20.257,
K2-63 c,K2-63,25.4556,
K2-64 b,K2-64,6.53044,
K2-65 b,K2-65,12.6475,
K2-66 b,K2-66,5.06963,
K2-68 b,K2-68,8.05428,
K2-69 b,K2-69,7.06599,
K2-7 b,K2-7,28.6781,
K2-70 b,K2-70,13.97896,
K2-71 b,K2-71,6.98541,
K2-72 b,K2-72,5.577212,
K2-72 c,K2-72,15.189034,
K2-72 d,K2-72,7.760178,
K2-72 e,K2-72,24.158868,
K2-73 b,K2-73,7.49543,
K2-74 b,K2-74,19.5666,
K2-75 b,K2-75,7.8142,
K2-75 c,K2-75,18.311,
K2-77 b,K2-77,8.2000844,
K2-79 b,K2-79,10.9947,
K2-8 b,K2-8,10.35239,
K2-8 c,K2-8,5.06416,
K2-80 b,K2-80,19.0918,
K2-80 c,K2-80,5.605,
K2-80 d,K2-80,28.867253,
K2-81 b,K2-81,6.102325,
K2-83 b,K2-83,2.74697,
K2-83 c,K2-83,9.99767,
K2-84 b,K2-84,6.4215,
K2-84 c,K2-84,27.86,
K2-85 b,K2-85,0.684559,
K2-86 b,K2-86,8.77683,
K2-87 b,K2-87,9.726618,
K2-88 b,K2-88,4.6122,
K2-89 b,K2-89,1.096026,
K2-9 b,K2-9,18.4498,
K2-90 b,K2-90,13.733314,
K2-90 c,K2-90,2.900706,
K2-91 b,K2-91,1.419549,
K2-95 b,K2-95,10.1346454,
K2-97 b,K2-97,8.407115,
K2-98 b,K2-98,10.1367349,
K2-99 b,K2-99,18.251985,
KELT-1 b,KELT-1,1.217514,
KELT-10 b,KELT-10,4.1662739,
KELT-11 b,KELT-11,4.7361,
KELT-12 b,KELT-12,5.031623,
KELT-14 b,KELT-14,1.7100566,
KELT-15 b,KELT-15,3.32944,
KELT-16 b,KELT-16,0.9689951,
KELT-17 b,KELT-17,3.0801716,
KELT-18 b,KELT-18,2.8717518,
KELT-19 A b,KELT-19,4.6117093,
KELT-2 A b,KELT-2,4.11379,
KELT-20 b,KELT-20,3.4741085,
KELT-21 b,KELT-21,3.6127647,
KELT-23 A b,KELT-23,2.255251,
KELT-24 b,KELT-24,5.55149296,
KELT-3 b,KELT-3,2.70339,
KELT-4 A b,KELT-4,2.9895932,
KELT-6 b,KELT-6,7.8457,
KELT-6 c,KELT-6,1276,
KELT-7 b,KELT-7,2.73477,
KELT-8 b,KELT-8,3.24406,
KELT-9 b,KELT-9,1.4811235,
KIC 10001893 b,KIC 10001893,0.2197,
KIC 10001893 c,KIC 10001893,0.32528,
KIC 10001893 d,KIC 10001893,0.81161,
KIC 10068024 b,KIC 10068024,2.073549,
KIC 10525077 b,KIC 10525077,854.083,
KIC 3526061 b,KIC 3526061,3552,
KIC 3558849 b,KIC 3558849,1322.3,
KIC 5437945 b,KIC 5437945,440.7813,
KIC 5479689 b,KIC 5479689,1.701531,
KIC 7917485 b,KIC 7917485,840,
KIC 8121913 b,KIC 8121913,3.294601,
KIC 8540376 b,KOI-7892,31.8099,
KIC 8540376 c,KOI-7892,75.2,
KIC 9663113 b,KIC 9663113,572.3847,
KMT-2016-BLG-0212L b,KMT-2016-BLG-0212L,,
KMT-2016-BLG-1105L b,KMT-2016-BLG-1105L,,
KMT-2016-BLG-1107L b,KMT-2016-BLG-1107L,,
KMT-2016-BLG-1397L b,KMT-2016-BLG-1397L,,
KMT-2016-BLG-1820L b,KMT-2016-BLG-1820L,,
KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,,
KMT-2016-BLG-2142L b,KMT-2016-BLG-2142L,,
KMT-2016-BLG-2321L b,KMT-2016-BLG-2321L,,
KMT-2016-BLG-2364L b,KMT-2016-BLG-2364L,,
KMT-2016-BLG-2397L b,KMT-2016-BLG-2397L,,
KMT-2016-BLG-2605L b,KMT-2016-BLG-2605L,,
KMT-2017-BLG-0165L b,KMT-2017-BLG-0165L,,
KMT-2017-BLG-0428L b,KMT-2017-BLG-0428L,,
KMT-2017-BLG-0673L b,KMT-2017-BLG-0673L,,
KMT-2017-BLG-1003L b,KMT-2017-BLG-1003L,,
KMT-2017-BLG-1038L b,KMT-2017-BLG-1038L,,
KMT-2017-BLG-1146L b,KMT-2017-BLG-1146L,,
KMT-2017-BLG-1194L b,KMT-2017-BLG-1194L,,
KMT-2017-BLG-2509L b,KMT-2017-BLG-2509L,,
KMT-2018-BLG-0029L b,KMT-2018-BLG-0029L,,
KMT-2018-BLG-0030L b,KMT-2018-BLG-0030L,,
KMT-2018-BLG-0087L b,KMT-2018-BLG-0087L,,
KMT-2018-BLG-0247L b,KMT-2018-BLG-0247L,,
KMT-2018-BLG-0748L b,KMT-2018-BLG-0748L,,
KMT-2018-BLG-0885L b,KMT-2018-BLG-0885L,,
KMT-2018-BLG-1025L b,KMT-2018-BLG-1025L,,
KMT-2018-BLG-1292L b,KMT-2018-BLG-1292L,,
KMT-2018-BLG-1743L b,KMT-2018-BLG-1743L,,
KMT-2018-BLG-1976L b,KMT-2018-BLG-1976L,,
KMT-2018-BLG-1988L b,KMT-2018-BLG-1988L,,
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,,
KMT-2018-BLG-1996L b,KMT-2018-BLG-1996L,,
KMT-2018-BLG-2602L b,KMT-2018-BLG-2602L,,
KMT-2019-BLG-0253L b,KMT-2019-BLG-0253L,,
KMT-2019-BLG-0297L b,KMT-2019-BLG-0297L,,
KMT-2019-BLG-0298L b,KMT-2019-BLG-0298L,,
KMT-2019-BLG-0335L b,KMT-2019-BLG-0335L,,
KMT-2019-BLG-0371L b,KMT-2019-BLG-0371L,,
KMT-2019-BLG-0414L b,KMT-2019-BLG-0414L,,
KMT-2019-BLG-0842L b,KMT-2019-BLG-0842L,,
KMT-2019-BLG-0953L b,KMT-2019-BLG-0953L,,
KMT-2019-BLG-1042L b,KMT-2019-BLG-1042L,,
KMT-2019-BLG-1216L b,KMT-2019-BLG-1216L,,
KMT-2019-BLG-1339L b,KMT-2019-BLG-1339L,,
KMT-2019-BLG-1367L b,KMT-2019-BLG-1367L,,
KMT-2019-BLG-1552L b,KMT-2019-BLG-1552L,,
KMT-2019-BLG-1715L b,KMT-2019-BLG-1715L,,
KMT-2019-BLG-1806L b,KMT-2019-BLG-1806L,,
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,,
KMT-2019-BLG-2783L b,KMT-2019-BLG-2783L,,
KMT-2019-BLG-2974L b,KMT-2019-BLG-2974L,,
KMT-2020-BLG-0414L b,KMT-2020-BLG-0414L,,
KMT-2020-BLG-0414L c,KMT-2020-BLG-0414L,,
KMT-2021-BLG-0119L b,KMT-2021-BLG-0119L,,
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,,
KMT-2021-BLG-0192L b,KMT-2021-BLG-0192L,,
KMT-2021-BLG-0240L b,KMT-2021-BLG-0240L,,
KMT-2021-BLG-0320L b,KMT-2021-BLG-0320L,,
KMT-2021-BLG-0322L b,KMT-2021-BLG-0322L,,
KMT-2021-BLG-0712L b,KMT-2021-BLG-0712L,,
KMT-2021-BLG-0748L b,KMT-2021-BLG-0748L,,
KMT-2021-BLG-0909L b,KMT-2021-BLG-0909L,,
KMT-2021-BLG-0912L b,KMT-2021-BLG-0912L,,
KMT-2021-BLG-1077L b,KMT-2021-BLG-1077L,,
KMT-2021-BLG-1077L c,KMT-2021-BLG-1077L,,
KMT-2021-BLG-1105L b,KMT-2021-BLG-1105L,,
KMT-2021-BLG-1150L b,KMT-2021-BLG-1150L,,
KMT-2021-BLG-1253L b,KMT-2021-BLG-1253L,,
KMT-2021-BLG-1303L b,KMT-2021-BLG-1303L,,
KMT-2021-BLG-1372L b,KMT-2021-BLG-1372L,,
KMT-2021-BLG-1391L b,KMT-2021-BLG-1391L,,
KMT-2021-BLG-1547L b,KMT-2021-BLG-1547L,,
KMT-2021-BLG-1554L b,KMT-2021-BLG-1554L,,
KMT-2021-BLG-1689L b,KMT-2021-BLG-1689L,,
KMT-2021-BLG-1770L b,KMT-2021-BLG-1770L,,
KMT-2021-BLG-1898L b,KMT-2021-BLG-1898L,,
KMT-2021-BLG-2010L b,KMT-2021-BLG-2010L,,
KMT-2021-BLG-2294L b,KMT-2021-BLG-2294L,,
KMT-2021-BLG-2478L b,KMT-2021-BLG-2478L,,
KMT-2021-BLG-2609L b,KMT-2021-BLG-2609L,,
KMT-2022-BLG-0303L b,KMT-2022-BLG-0303L,,
KMT-2022-BLG-0371L b,KMT-2022-BLG-0371L,,
KMT-2022-BLG-0440L b,KMT-2022-BLG-0440L,,
KMT-2022-BLG-1013L b,KMT-2022-BLG-1013L,,
KMT-2022-BLG-2286L b,KMT-2022-BLG-2286L,,
KMT-2023-BLG-0416L b,KMT-2023-BLG-0416L,,
KMT-2023-BLG-0469L b,KMT-2023-BLG-0469L,,
KMT-2023-BLG-0735L b,KMT-2023-BLG-0735L,,
KMT-2023-BLG-1431L b,KMT-2023-BLG-1431L,,
KMT-2023-BLG-1454L b,KMT-2023-BLG-1454L,,
KMT-2023-BLG-1642L b,KMT-2023-BLG-1642L,,
KMT-2023-BLG-1743L b,KMT-2023-BLG-1743L,,
KMT-2023-BLG-1866L b,KMT-2023-BLG-1866L,,
KMT-2024-BLG-1044L b,KMT-2024-BLG-1044L,,
KOI-12 b,KOI-12,17.855182,
KOI-1257 b,KOI-1257,86.647661,
KOI-13 b,KOI-13,1.763588,
KOI-142 b,KOI-142,10.91647,
KOI-142 c,KOI-142,22.26492,
KOI-1599.01,KOI-1599,20.4415,
KOI-1599.02,KOI-1599,13.6088,
KOI-1783.01,KOI-1783,134.4628,
KOI-1783.02,KOI-1783,284.215,
KOI-1831 d,Kepler-324,34.169,
KOI-1833 d,Kepler-968,7.685,
KOI-217 b,KOI-217,3.90512,
KOI-2513.01,KOI-2513,19.00547,
KOI-3503 b,KOI-3503,21.185,
KOI-3503 c,KOI-3503,31.828,
KOI-351 b,KOI-351,7.008151,
KOI-351 c,KOI-351,8.719375,
KOI-351 d,KOI-351,59.73667,
KOI-351 e,KOI-351,91.93913,
KOI-351 f,KOI-351,124.9144,
KOI-351 g,KOI-351,210.60697,
KOI-351 h,KOI-351,331.60059,
KOI-3680 b,KOI-3680,141.241671,
KOI-4777.01,KOI-4777,0.412,
KOI-4978 b,KOI-4978,0.941967,
KOI-55 b,KOI-55,0.240104,
KOI-55 c,KOI-55,0.342887,
KOI-7368 b,KOI-7368,6.8430344,
KOI-7913 b,KOI-7913,24.278553,
KOI-94 b,KOI-94,3.743208,
KOI-94 c,KOI-94,10.423648,
KOI-94 d,KOI-94,22.342989,
KOI-94 e,KOI-94,54.32031,
KOI-984 b,KOI-984,4.2881785,
KOI-984 c,KOI-984,21.512,
KPS-1 b,KPS-1,1.706291,
Kapteyn c,Kapteyn,121.54,
Kepler-10 b,Kepler-10,0.8374907,
Kepler-10 c,Kepler-10,45.294301,
Kepler-10 d,Kepler-10,151.04,
Kepler-100 b,Kepler-100,6.88705,
Kepler-100 c,Kepler-100,12.8159,
Kepler-100 d,Kepler-100,35.3331,
Kepler-100 e,Kepler-100,60.888588,
Kepler-1000 b,Kepler-1000,120.0181272,
Kepler-1001 b,Kepler-1001,14.30511983,
Kepler-1001 c,Kepler-1001,9.18186,
Kepler-1002 b,Kepler-1002,4.33642933,
Kepler-1003 b,Kepler-1003,3.55485692,
Kepler-1004 b,Kepler-1004,5.28789787,
Kepler-1005 b,Kepler-1005,6.49801525,
Kepler-1006 b,Kepler-1006,19.76172042,
Kepler-1007 b,Kepler-1007,5.18500207,
Kepler-1008 b,Kepler-1008,12.43931193,
Kepler-1009 b,Kepler-1009,11.35011917,
Kepler-101 b,Kepler-101,3.4876812,
Kepler-101 c,Kepler-101,6.02976,
Kepler-1010 b,Kepler-1010,34.2685705,
Kepler-1011 b,Kepler-1011,5.75322197,
Kepler-1012 b,Kepler-1012,5.50860439,
Kepler-1013 b,Kepler-1013,18.93054959,
Kepler-1014 b,Kepler-1014,16.57110363,
Kepler-1015 b,Kepler-1015,16.00494214,
Kepler-1016 b,Kepler-1016,1.95452434,
Kepler-1016 c,Kepler-1016,105.6551369,
Kepler-1017 b,Kepler-1017,7.23400469,
Kepler-1018 b,Kepler-1018,49.1013514,
Kepler-1019 b,Kepler-1019,1.41122985,
Kepler-102 b,Kepler-102,5.286965,
Kepler-102 c,Kepler-102,7.071392,
Kepler-102 d,Kepler-102,10.311767,
Kepler-102 e,Kepler-102,16.1456994,
Kepler-102 f,Kepler-102,27.453592,
Kepler-1020 b,Kepler-1020,96.9151496,
Kepler-1021 b,Kepler-1021,13.47469571,
Kepler-1022 b,Kepler-1022,10.99469878,
Kepler-1023 b,Kepler-1023,62.1387714,
Kepler-1024 b,Kepler-1024,66.4162133,
Kepler-1025 b,Kepler-1025,37.3229493,
Kepler-1026 b,Kepler-1026,36.5156053,
Kepler-1027 b,Kepler-1027,1.9078052,
Kepler-1028 b,Kepler-1028,2.51462432,
Kepler-1029 b,Kepler-1029,4.41769648,
Kepler-103 b,Kepler-103,15.9653287,
Kepler-103 c,Kepler-103,179.60978,
Kepler-1030 b,Kepler-1030,19.32952416,
Kepler-1031 b,Kepler-1031,1.22621732,
Kepler-1032 b,Kepler-1032,3.29011795,
Kepler-1033 b,Kepler-1033,7.56052806,
Kepler-1034 b,Kepler-1034,12.12400943,
Kepler-1035 b,Kepler-1035,2.71407755,
Kepler-1036 b,Kepler-1036,122.8808058,
Kepler-1037 b,Kepler-1037,1.06378867,
Kepler-1038 b,Kepler-1038,148.4603382,
Kepler-1038 c,Kepler-1038,7.1276598,
Kepler-1039 b,Kepler-1039,0.93488424,
Kepler-104 b,Kepler-104,11.427548,
Kepler-104 c,Kepler-104,23.668205,
Kepler-104 d,Kepler-104,51.755394,
Kepler-1040 b,Kepler-1040,201.1214,
Kepler-1041 b,Kepler-1041,24.7576421,
Kepler-1042 b,Kepler-1042,10.13202575,
Kepler-1043 b,Kepler-1043,38.5053398,
Kepler-1044 b,Kepler-1044,6.77408868,
Kepler-1045 b,Kepler-1045,26.41045478,
Kepler-1046 b,Kepler-1046,14.37508035,
Kepler-1047 b,Kepler-1047,56.1886887,
Kepler-1047 c,Kepler-1047,3.18897601,
Kepler-1048 b,Kepler-1048,6.92101021,
Kepler-1049 b,Kepler-1049,3.27346074,
Kepler-105 b,Kepler-105,5.4122034,
Kepler-105 c,Kepler-105,7.12592,
Kepler-1050 b,Kepler-1050,15.3787546,
Kepler-1050 c,Kepler-1050,21.1284569,
Kepler-1051 b,Kepler-1051,25.96200249,
Kepler-1052 b,Kepler-1052,34.8538276,
Kepler-1052 c,Kepler-1052,180.921729,
Kepler-1053 b,Kepler-1053,2.41435165,
Kepler-1054 b,Kepler-1054,4.30655689,
Kepler-1055 b,Kepler-1055,2.29503623,
Kepler-1056 b,Kepler-1056,27.495606,
Kepler-1057 b,Kepler-1057,14.08827448,
Kepler-1058 b,Kepler-1058,110.96546,
Kepler-1059 b,Kepler-1059,3.76419105,
Kepler-106 b,Kepler-106,6.16486,
Kepler-106 c,Kepler-106,13.5708,
Kepler-106 d,Kepler-106,23.9802,
Kepler-106 e,Kepler-106,43.8445,
Kepler-1060 b,Kepler-1060,46.8779367,
Kepler-1061 b,Kepler-1061,2.75798267,
Kepler-1062 b,Kepler-1062,9.30412078,
Kepler-1063 b,Kepler-1063,14.07971466,
Kepler-1064 b,Kepler-1064,16.54080322,
Kepler-1065 b,Kepler-1065,3.60930891,
Kepler-1065 c,Kepler-1065,2.37030743,
Kepler-1066 b,Kepler-1066,1.93155984,
Kepler-1067 b,Kepler-1067,0.76212926,
Kepler-1067 c,Kepler-1067,5.4258399,
Kepler-1068 b,Kepler-1068,16.92344113,
Kepler-1069 b,Kepler-1069,23.8990296,
Kepler-107 b,Kepler-107,3.1800218,
Kepler-107 c,Kepler-107,4.901452,
Kepler-107 d,Kepler-107,7.95839,
Kepler-107 e,Kepler-107,14.749143,
Kepler-1070 b,Kepler-1070,6.2216147,
Kepler-1071 b,Kepler-1071,6.1799844,
Kepler-1072 b,Kepler-1072,1.5690665,
Kepler-1073 b,Kepler-1073,8.67888593,
Kepler-1073 c,Kepler-1073,4.02582254,
Kepler-1073 d,Kepler-1073,2.50476003,
Kepler-1074 b,Kepler-1074,5.94566534,
Kepler-1075 b,Kepler-1075,1.52372816,
Kepler-1076 b,Kepler-1076,6.14727918,
Kepler-1077 b,Kepler-1077,34.3511874,
Kepler-1078 b,Kepler-1078,3.00725242,
Kepler-1079 b,Kepler-1079,13.24503188,
Kepler-108 b,Kepler-108,49.183921,
Kepler-108 c,Kepler-108,190.323494,
Kepler-1080 b,Kepler-1080,77.2548396,
Kepler-1081 b,Kepler-1081,3.85691855,
Kepler-1082 b,Kepler-1082,1.5432066,
Kepler-1083 b,Kepler-1083,33.4177993,
Kepler-1084 b,Kepler-1084,2.05333679,
Kepler-1085 b,Kepler-1085,219.3217528,
Kepler-1085 c,Kepler-1085,56.7771,
Kepler-1086 b,Kepler-1086,18.78425728,
Kepler-1086 c,Kepler-1086,161.5163345,
Kepler-1087 b,Kepler-1087,0.69384286,
Kepler-1088 b,Kepler-1088,23.12748644,
Kepler-1089 b,Kepler-1089,5.13248562,
Kepler-109 b,Kepler-109,6.4816307,
Kepler-109 c,Kepler-109,21.22265,
Kepler-1090 b,Kepler-1090,198.680179,
Kepler-1090 c,Kepler-1090,42.42720032,
Kepler-1091 b,Kepler-1091,1.43474156,
Kepler-1092 b,Kepler-1092,58.6017925,
Kepler-1093 b,Kepler-1093,25.0824626,
Kepler-1093 c,Kepler-1093,89.722292,
Kepler-1094 b,Kepler-1094,78.1000231,
Kepler-1095 b,Kepler-1095,4.27103091,
Kepler-1096 b,Kepler-1096,2.89221751,
Kepler-1097 b,Kepler-1097,187.747029,
Kepler-1098 b,Kepler-1098,2.54307286,
Kepler-1099 b,Kepler-1099,2.16845259,
Kepler-11 b,Kepler-11,10.3039,
Kepler-11 c,Kepler-11,13.0241,
Kepler-11 d,Kepler-11,22.6845,
Kepler-11 e,Kepler-11,31.9996,
Kepler-11 f,Kepler-11,46.6888,
Kepler-11 g,Kepler-11,118.3807,
Kepler-110 b,Kepler-110,12.691112,
Kepler-110 c,Kepler-110,31.719775,
Kepler-1100 b,Kepler-1100,6.42200058,
Kepler-1101 b,Kepler-1101,81.3151059,
Kepler-1102 b,Kepler-1102,51.3285623,
Kepler-1103 b,Kepler-1103,19.79191978,
Kepler-1104 b,Kepler-1104,5.03728015,
Kepler-1105 b,Kepler-1105,4.42157218,
Kepler-1106 b,Kepler-1106,1.25275217,
Kepler-1107 b,Kepler-1107,0.57103852,
Kepler-1108 b,Kepler-1108,4.51005748,
Kepler-1109 b,Kepler-1109,37.6467384,
Kepler-111 b,Kepler-111,3.341815,
Kepler-111 c,Kepler-111,224.77833,
Kepler-1110 b,Kepler-1110,9.69312032,
Kepler-1111 b,Kepler-1111,8.79617863,
Kepler-1112 b,Kepler-1112,14.36267939,
Kepler-1113 b,Kepler-1113,42.3004954,
Kepler-1114 b,Kepler-1114,14.97435694,
Kepler-1115 b,Kepler-1115,23.5540725,
Kepler-1116 b,Kepler-1116,41.6977827,
Kepler-1117 b,Kepler-1117,4.79028459,
Kepler-1118 b,Kepler-1118,38.6715075,
Kepler-1119 b,Kepler-1119,8.3265153,
Kepler-112 b,Kepler-112,8.408878,
Kepler-112 c,Kepler-112,28.574263,
Kepler-1120 b,Kepler-1120,2.94902905,
Kepler-1121 b,Kepler-1121,13.15141081,
Kepler-1122 b,Kepler-1122,42.1917357,
Kepler-1123 b,Kepler-1123,4.33946454,
Kepler-1124 b,Kepler-1124,2.85234897,
Kepler-1125 b,Kepler-1125,17.6700642,
Kepler-1126 b,Kepler-1126,108.593329,
Kepler-1126 c,Kepler-1126,199.66876,
Kepler-1127 b,Kepler-1127,5.12330347,
Kepler-1128 b,Kepler-1128,61.6178167,
Kepler-1129 b,Kepler-1129,24.3397804,
Kepler-1129 c,Kepler-1129,76.5369586,
Kepler-113 b,Kepler-113,4.754,
Kepler-113 c,Kepler-113,8.92507,
Kepler-1130 b,Kepler-1130,5.45298175,
Kepler-1130 c,Kepler-1130,3.26663995,
Kepler-1130 d,Kepler-1130,4.27225018,
Kepler-1131 b,Kepler-1131,3.53232449,
Kepler-1132 b,Kepler-1132,62.8916228,
Kepler-1133 b,Kepler-1133,11.55562343,
Kepler-1134 b,Kepler-1134,17.13263989,
Kepler-1135 b,Kepler-1135,76.957857,
Kepler-1136 b,Kepler-1136,2.36172433,
Kepler-1137 b,Kepler-1137,23.9210791,
Kepler-1138 b,Kepler-1138,3.17060005,
Kepler-1139 b,Kepler-1139,0.81316672,
Kepler-114 b,Kepler-114,5.188549,
Kepler-114 c,Kepler-114,8.041,
Kepler-114 d,Kepler-114,11.776,
Kepler-1140 b,Kepler-1140,24.0862707,
Kepler-1141 b,Kepler-1141,2.34451194,
Kepler-1142 b,Kepler-1142,18.3027248,
Kepler-1143 b,Kepler-1143,2.88890485,
Kepler-1143 c,Kepler-1143,210.630591,
Kepler-1144 b,Kepler-1144,17.14647302,
Kepler-1145 b,Kepler-1145,3.97076766,
Kepler-1146 b,Kepler-1146,2.3522658,
Kepler-1147 b,Kepler-1147,10.62784997,
