Planet Name,Biome,Phylum
CoRoT-20 c,Tundra,Bryophyta
CoRoT-21 b,Tundra,Arthropoda
CoRoT-22 b,Nemoral,Annelida
CoRoT-23 b,Boreal,Cnidaria
CoRoT-24 b,Boreal,Porifera
CoRoT-24 c,Tundra,Mollusca
CoRoT-25 b,Tropical,Platyhelminthes
CoRoT-26 b,Tropical,Bryophyta
CoRoT-27 b,Marshland,Arthropoda
CoRoT-28 b,Alpine,Echinodermata
CoRoT-29 b,Scarlet,Bryophyta
CoRoT-3 b,Scarlet,Bryophyta
CoRoT-30 b,Tundra,Echinodermata
CoRoT-31 b,Nemoral,Nematoda
CoRoT-35 b,Nemoral,Cnidaria
CoRoT-36 b,Alpine,Pteridophyta
CoRoT-4 b,Nemoral,Mollusca
CoRoT-5 b,Tropical,Nematoda
CoRoT-6 b,Marshland,Cnidaria
CoRoT-7 b,Tundra,Mollusca
CoRoT-7 c,Alpine,Annelida
CoRoT-7 d,Marshland,Platyhelminthes
CoRoT-8 b,Scarlet,Nematoda
CoRoT-9 b,Nemoral,Mollusca
CoRoTID 223977153 b,Marshland,Nematoda
DE CVn b,Scarlet,Nematoda
DENIS-P J082303.1-491201 b,Tropical,Arthropoda
DH Tau b,Tundra,Echinodermata
DMPP-1 b,Swamp,Angiospermae
DMPP-1 c,Tundra,Bryophyta
DMPP-1 d,Temperate,Mollusca
DMPP-1 e,Temperate,Mollusca
DMPP-2 b,Tundra,Annelida
DMPP-3 A b,Swamp,Chordata
DMPP-4 b,Temperate,Echinodermata
DP Leo b,Boreal,Cnidaria
DS Tuc A b,Nemoral,Cnidaria
EPIC 201170410.02,Scarlet,Angiospermae
EPIC 201238110 b,Tropical,Bryophyta
EPIC 201427007 b,Tropical,Bryophyta
EPIC 201497682 b,Alpine,Arthropoda
EPIC 201595106 b,Boreal,Arthropoda
EPIC 201615463 c,Desert,Bryophyta
EPIC 201754305 d,Alpine,Pteridophyta
EPIC 201757695.02,Alpine,Pteridophyta
EPIC 201833600 c,Desert,Echinodermata
EPIC 201841433 b,Desert,Nematoda
EPIC 205950854 c,Swamp,Mollusca
EPIC 206024342 b,Desert,Arthropoda
EPIC 206024342 c,Boreal,Angiospermae
EPIC 206024342 d,Boreal,Annelida
EPIC 206032309 b,Tropical,Porifera
EPIC 206042996 b,Tropical,Annelida
EPIC 206042996 c,Tundra,Cnidaria
EPIC 206215704 b,Alpine,Porifera
EPIC 206317286 b,Scarlet,Cnidaria
EPIC 206317286 c,Marshland,Chordata
EPIC 211822797 b,Boreal,Platyhelminthes
EPIC 211945201 b,Scarlet,Arthropoda
EPIC 212297394 b,Boreal,Mollusca
EPIC 212297394 c,Scarlet,Nematoda
EPIC 212424622 b,Tropical,Bryophyta
EPIC 212499991 b,Tundra,Arthropoda
EPIC 212587672 b,Tundra,Bryophyta
EPIC 212587672 c,Desert,Annelida
EPIC 212624936 b,Tundra,Bryophyta
EPIC 212624936 c,Boreal,Bryophyta
EPIC 212737443 b,Temperate,Mollusca
EPIC 212737443 c,Swamp,Mollusca
EPIC 220492298 b,Alpine,Platyhelminthes
EPIC 220554210 c,Marshland,Pteridophyta
EPIC 220674823 b,Tundra,Arthropoda
EPIC 220674823 c,Marshland,Platyhelminthes
EPIC 228836835 b,Swamp,Pteridophyta
EPIC 229004835 b,Temperate,Nematoda
EPIC 246851721 b,Marshland,Arthropoda
EPIC 248847494 b,Nemoral,Arthropoda
EPIC 249893012 b,Swamp,Echinodermata
EPIC 249893012 c,Scarlet,Arthropoda
EPIC 249893012 d,Tundra,Chordata
FU Tau b,Boreal,Arthropoda
G 196-3 b,Swamp,Angiospermae
G 264-012 b,Desert,Arthropoda
G 264-012 c,Scarlet,Annelida
G 9-40 b,Desert,Echinodermata
GJ 1002 b,Alpine,Mollusca
GJ 1002 c,Marshland,Mollusca
GJ 1061 b,Scarlet,Nematoda
GJ 1061 c,Marshland,Echinodermata
GJ 1061 d,Tropical,Chordata
GJ 1132 b,Scarlet,Chordata
GJ 1132 c,Boreal,Echinodermata
GJ 1148 b,Tundra,Platyhelminthes
GJ 1148 c,Boreal,Echinodermata
GJ 1151 c,Tropical,Nematoda
GJ 1214 b,Tropical,Annelida
GJ 1252 b,Boreal,Chordata
GJ 1265 b,Tundra,Porifera
GJ 143 b,Nemoral,Bryophyta
GJ 15 A b,Desert,Annelida
GJ 15 A c,Scarlet,Mollusca
GJ 160.2 b,Boreal,Echinodermata
GJ 163 b,Tundra,Platyhelminthes
GJ 163 c,Tropical,Cnidaria
GJ 163 d,Boreal,Mollusca
GJ 179 b,Tundra,Pteridophyta
GJ 180 b,Tropical,Cnidaria
GJ 180 c,Marshland,Annelida
GJ 180 d,Boreal,Bryophyta
GJ 2030 b,Swamp,Chordata
GJ 2030 c,Tropical,Annelida
GJ 2056 b,Scarlet,Chordata
GJ 229 A c,Boreal,Annelida
GJ 229 b,Swamp,Bryophyta
GJ 238 b,Boreal,Cnidaria
GJ 251 b,Tropical,Nematoda
GJ 27.1 b,Swamp,Pteridophyta
GJ 273 b,Temperate,Bryophyta
GJ 273 c,Scarlet,Angiospermae
GJ 3021 b,Tundra,Bryophyta
GJ 3082 b,Swamp,Cnidaria
GJ 3090 b,Scarlet,Chordata
GJ 3138 b,Desert,Nematoda
GJ 3138 c,Scarlet,Chordata
GJ 3138 d,Alpine,Arthropoda
GJ 317 b,Boreal,Bryophyta
GJ 317 c,Alpine,Platyhelminthes
GJ 3222 b,Marshland,Platyhelminthes
GJ 328 b,Desert,Nematoda
GJ 328 c,Tropical,Annelida
GJ 3293 b,Scarlet,Platyhelminthes
GJ 3293 c,Desert,Bryophyta
GJ 3293 d,Alpine,Bryophyta
GJ 3293 e,Scarlet,Arthropoda
GJ 3323 b,Swamp,Echinodermata
GJ 3323 c,Swamp,Chordata
GJ 3341 b,Boreal,Pteridophyta
GJ 338 B b,Marshland,Bryophyta
GJ 3470 b,Marshland,Pteridophyta
GJ 3473 b,Desert,Echinodermata
GJ 3473 c,Marshland,Cnidaria
GJ 3512 b,Desert,Platyhelminthes
GJ 3512 c,Desert,Mollusca
GJ 357 b,Marshland,Arthropoda
GJ 357 c,Scarlet,Annelida
GJ 357 d,Alpine,Platyhelminthes
GJ 3634 b,Desert,Nematoda
GJ 367 b,Desert,Echinodermata
GJ 367 c,Scarlet,Mollusca
GJ 367 d,Boreal,Bryophyta
GJ 3779 b,Tundra,Mollusca
GJ 3929 b,Nemoral,Pteridophyta
GJ 3929 c,Temperate,Mollusca
GJ 393 b,Desert,Platyhelminthes
GJ 3942 b,Tropical,Mollusca
GJ 3988 b,Swamp,Platyhelminthes
GJ 3998 b,Swamp,Pteridophyta
GJ 3998 c,Alpine,Cnidaria
GJ 411 b,Alpine,Bryophyta
GJ 414 A b,Boreal,Arthropoda
GJ 414 A c,Marshland,Bryophyta
GJ 422 b,Scarlet,Platyhelminthes
GJ 4276 b,Marshland,Nematoda
GJ 433 b,Boreal,Annelida
GJ 433 c,Boreal,Porifera
GJ 433 d,Nemoral,Platyhelminthes
GJ 436 b,Nemoral,Cnidaria
GJ 463 b,Alpine,Chordata
GJ 480 b,Desert,Platyhelminthes
GJ 486 b,Desert,Mollusca
GJ 504 b,Tropical,Annelida
GJ 514 b,Alpine,Chordata
GJ 536 b,Marshland,Echinodermata
GJ 581 b,Desert,Arthropoda
GJ 581 c,Tropical,Cnidaria
GJ 581 e,Alpine,Bryophyta
GJ 625 b,Temperate,Arthropoda
GJ 649 b,Tropical,Chordata
GJ 667 C b,Marshland,Arthropoda
GJ 667 C c,Nemoral,Annelida
GJ 667 C e,Boreal,Annelida
GJ 667 C f,Swamp,Mollusca
GJ 667 C g,Tropical,Nematoda
GJ 674 b,Alpine,Annelida
GJ 676 A b,Tropical,Cnidaria
GJ 676 A c,Nemoral,Echinodermata
GJ 676 A d,Tundra,Platyhelminthes
GJ 676 A e,Marshland,Annelida
GJ 680 b,Tropical,Chordata
GJ 682 b,Tundra,Arthropoda
GJ 682 c,Tropical,Platyhelminthes
GJ 685 b,Marshland,Pteridophyta
GJ 687 b,Boreal,Chordata
GJ 687 c,Scarlet,Pteridophyta
GJ 720 A b,Swamp,Chordata
GJ 724 b,Tundra,Echinodermata
GJ 740 b,Boreal,Bryophyta
GJ 806 b,Boreal,Annelida
GJ 806 c,Swamp,Mollusca
GJ 832 b,Alpine,Angiospermae
GJ 849 b,Tropical,Echinodermata
GJ 849 c,Temperate,Nematoda
GJ 86 b,Marshland,Porifera
GJ 876 b,Alpine,Platyhelminthes
GJ 876 c,Desert,Echinodermata
GJ 876 d,Desert,Echinodermata
GJ 876 e,Tundra,Nematoda
GJ 887 b,Scarlet,Nematoda
GJ 887 c,Alpine,Nematoda
GJ 896 A b,Tropical,Annelida
GJ 900 b,Marshland,Arthropoda
GJ 9066 c,Tundra,Chordata
GJ 9404 b,Tundra,Cnidaria
GJ 96 b,Alpine,Cnidaria
GJ 9689 b,Marshland,Nematoda
GJ 9714 b,Alpine,Chordata
GJ 9827 b,Alpine,Echinodermata
GJ 9827 c,Temperate,Echinodermata
GJ 9827 d,Boreal,Annelida
GPX-1 b,Marshland,Nematoda
GQ Lup b,Nemoral,Cnidaria
GSC 06214-00210 b,Tundra,Annelida
GU Psc b,Tropical,Cnidaria
Gaia-1 b,Temperate,Mollusca
Gaia-2 b,Alpine,Arthropoda
Gaia22dkvL b,Tropical,Cnidaria
Gl 378 b,Marshland,Bryophyta
Gl 49 b,Boreal,Mollusca
Gl 686 b,Scarlet,Annelida
Gliese 12 b,Desert,Platyhelminthes
HAT-P-1 b,Tundra,Arthropoda
HAT-P-11 b,Tundra,Cnidaria
HAT-P-11 c,Nemoral,Arthropoda
HAT-P-12 b,Tundra,Pteridophyta
HAT-P-13 b,Temperate,Cnidaria
HAT-P-13 c,Tundra,Chordata
HAT-P-14 b,Tropical,Nematoda
HAT-P-15 b,Tundra,Mollusca
HAT-P-16 b,Boreal,Chordata
HAT-P-17 b,Marshland,Mollusca
HAT-P-17 c,Tropical,Platyhelminthes
HAT-P-18 b,Nemoral,Echinodermata
HAT-P-19 b,Tundra,Bryophyta
HAT-P-2 b,Swamp,Bryophyta
HAT-P-2 c,Temperate,Pteridophyta
HAT-P-20 b,Desert,Pteridophyta
HAT-P-21 b,Boreal,Bryophyta
HAT-P-22 b,Tropical,Annelida
HAT-P-23 b,Tundra,Annelida
HAT-P-24 b,Boreal,Annelida
HAT-P-25 b,Alpine,Cnidaria
HAT-P-26 b,Desert,Bryophyta
HAT-P-27 b,Boreal,Chordata
HAT-P-28 b,Alpine,Mollusca
HAT-P-29 b,Boreal,Echinodermata
HAT-P-3 b,Swamp,Mollusca
HAT-P-30 b,Marshland,Arthropoda
HAT-P-31 b,Scarlet,Cnidaria
HAT-P-32 b,Marshland,Arthropoda
HAT-P-33 b,Boreal,Chordata
HAT-P-34 b,Marshland,Cnidaria
HAT-P-35 b,Alpine,Nematoda
HAT-P-36 b,Swamp,Mollusca
HAT-P-37 b,Boreal,Chordata
HAT-P-38 b,Desert,Mollusca
HAT-P-39 b,Marshland,Porifera
HAT-P-4 b,Marshland,Nematoda
HAT-P-40 b,Marshland,Mollusca
HAT-P-41 b,Tropical,Echinodermata
HAT-P-42 b,Desert,Chordata
HAT-P-43 b,Boreal,Chordata
HAT-P-44 b,Swamp,Bryophyta
HAT-P-44 c,Swamp,Angiospermae
HAT-P-45 b,Scarlet,Cnidaria
HAT-P-46 b,Tundra,Annelida
HAT-P-49 b,Temperate,Annelida
HAT-P-5 b,Swamp,Annelida
HAT-P-50 b,Boreal,Pteridophyta
HAT-P-51 b,Swamp,Porifera
HAT-P-52 b,Tropical,Nematoda
HAT-P-53 b,Swamp,Porifera
HAT-P-54 b,Desert,Bryophyta
HAT-P-55 b,Desert,Chordata
HAT-P-56 b,Swamp,Porifera
HAT-P-57 b,Alpine,Annelida
HAT-P-58 b,Scarlet,Bryophyta
HAT-P-59 b,Marshland,Nematoda
HAT-P-6 b,Desert,Bryophyta
HAT-P-60 b,Desert,Chordata
HAT-P-61 b,Tundra,Annelida
HAT-P-62 b,Alpine,Chordata
HAT-P-63 b,Scarlet,Nematoda
HAT-P-64 b,Scarlet,Chordata
HAT-P-65 b,Desert,Nematoda
HAT-P-66 b,Tropical,Pteridophyta
HAT-P-67 b,Tropical,Arthropoda
HAT-P-68 b,Tropical,Annelida
HAT-P-69 b,Swamp,Cnidaria
HAT-P-7 b,Desert,Arthropoda
HAT-P-70 b,Temperate,Mollusca
HAT-P-8 b,Alpine,Nematoda
HAT-P-9 b,Boreal,Bryophyta
HATS-1 b,Nemoral,Pteridophyta
HATS-10 b,Desert,Platyhelminthes
HATS-11 b,Marshland,Bryophyta
HATS-12 b,Marshland,Mollusca
HATS-13 b,Tropical,Platyhelminthes
HATS-14 b,Swamp,Arthropoda
HATS-15 b,Swamp,Porifera
HATS-16 b,Desert,Bryophyta
HATS-17 b,Boreal,Cnidaria
HATS-18 b,Alpine,Platyhelminthes
HATS-2 b,Tundra,Arthropoda
HATS-22 b,Alpine,Cnidaria
HATS-23 b,Swamp,Bryophyta
HATS-24 b,Desert,Platyhelminthes
HATS-25 b,Swamp,Cnidaria
HATS-26 b,Alpine,Chordata
HATS-27 b,Boreal,Echinodermata
HATS-28 b,Marshland,Bryophyta
HATS-29 b,Swamp,Nematoda
HATS-3 b,Boreal,Porifera
HATS-30 b,Desert,Cnidaria
HATS-31 b,Temperate,Bryophyta
HATS-32 b,Swamp,Annelida
HATS-33 b,Marshland,Pteridophyta
HATS-34 b,Alpine,Annelida
HATS-35 b,Swamp,Platyhelminthes
HATS-36 b,Swamp,Echinodermata
HATS-37 A b,Scarlet,Mollusca
HATS-38 b,Tropical,Arthropoda
HATS-39 b,Swamp,Angiospermae
HATS-4 b,Scarlet,Echinodermata
HATS-40 b,Tropical,Mollusca
HATS-41 b,Swamp,Bryophyta
HATS-42 b,Scarlet,Echinodermata
HATS-43 b,Scarlet,Echinodermata
HATS-44 b,Scarlet,Angiospermae
HATS-45 b,Desert,Arthropoda
HATS-46 b,Tundra,Mollusca
HATS-47 b,Swamp,Echinodermata
HATS-48 A b,Marshland,Arthropoda
HATS-49 b,Boreal,Pteridophyta
HATS-5 b,Swamp,Arthropoda
HATS-50 b,Marshland,Platyhelminthes
HATS-51 b,Scarlet,Angiospermae
HATS-52 b,Swamp,Echinodermata
HATS-53 b,Temperate,Chordata
HATS-54 b,Boreal,Bryophyta
HATS-55 b,Desert,Mollusca
HATS-56 b,Boreal,Arthropoda
HATS-57 b,Temperate,Porifera
HATS-58 A b,Desert,Chordata
HATS-59 b,Marshland,Pteridophyta
HATS-59 c,Tundra,Arthropoda
HATS-6 b,Tundra,Platyhelminthes
HATS-60 b,Nemoral,Bryophyta
HATS-61 b,Boreal,Arthropoda
HATS-62 b,Desert,Pteridophyta
HATS-63 b,Nemoral,Annelida
HATS-64 b,Tropical,Echinodermata
HATS-65 b,Marshland,Annelida
HATS-66 b,Marshland,Nematoda
HATS-67 b,Boreal,Echinodermata
HATS-68 b,Tropical,Chordata
HATS-69 b,Alpine,Annelida
HATS-7 b,Tropical,Platyhelminthes
HATS-70 b,Marshland,Nematoda
HATS-71 b,Boreal,Angiospermae
HATS-72 b,Tropical,Angiospermae
HATS-74 A b,Alpine,Angiospermae
HATS-75 b,Marshland,Porifera
HATS-76 b,Boreal,Nematoda
HATS-77 b,Marshland,Chordata
HATS-8 b,Alpine,Platyhelminthes
HATS-9 b,Tundra,Angiospermae
HD 100546 b,Desert,Pteridophyta
HD 100655 b,Tropical,Pteridophyta
HD 100777 b,Marshland,Chordata
HD 101581 b,Desert,Nematoda
HD 101581 c,Nemoral,Nematoda
HD 10180 c,Desert,Bryophyta
HD 10180 d,Swamp,Cnidaria
HD 10180 e,Scarlet,Arthropoda
HD 10180 f,Marshland,Cnidaria
HD 10180 g,Alpine,Cnidaria
HD 10180 h,Scarlet,Platyhelminthes
HD 101930 b,Marshland,Chordata
HD 102117 b,Nemoral,Pteridophyta
HD 102195 b,Swamp,Angiospermae
HD 102272 b,Swamp,Bryophyta
HD 102329 b,Tundra,Echinodermata
HD 102329 c,Tundra,Platyhelminthes
HD 102365 b,Scarlet,Echinodermata
HD 102843 b,Boreal,Pteridophyta
HD 102956 b,Swamp,Cnidaria
HD 103197 b,Scarlet,Pteridophyta
HD 103720 b,Swamp,Chordata
HD 103774 b,Alpine,Echinodermata
HD 103891 b,Scarlet,Arthropoda
HD 103949 b,Scarlet,Arthropoda
HD 104067 b,Boreal,Bryophyta
HD 104067 c,Tropical,Cnidaria
HD 10442 b,Desert,Bryophyta
HD 104985 b,Alpine,Mollusca
HD 105618 b,Marshland,Bryophyta
HD 105618 c,Marshland,Platyhelminthes
HD 105779 b,Boreal,Chordata
HD 106252 b,Scarlet,Nematoda
HD 106270 b,Tundra,Cnidaria
HD 106315 b,Alpine,Nematoda
HD 106315 c,Tundra,Chordata
HD 10647 b,Nemoral,Echinodermata
HD 106515 A b,Swamp,Pteridophyta
HD 106906 b,Nemoral,Arthropoda
HD 10697 b,Desert,Platyhelminthes
HD 107148 b,Marshland,Bryophyta
HD 107148 c,Swamp,Arthropoda
HD 108147 b,Alpine,Echinodermata
HD 108202 b,Temperate,Pteridophyta
HD 108236 b,Boreal,Chordata
HD 108236 c,Tropical,Arthropoda
HD 108236 d,Boreal,Nematoda
HD 108236 e,Boreal,Nematoda
HD 108236 f,Tundra,Annelida
HD 108341 b,Boreal,Cnidaria
HD 108863 b,Desert,Porifera
HD 108874 b,Desert,Annelida
HD 108874 c,Scarlet,Annelida
HD 109246 b,Alpine,Echinodermata
HD 109271 b,Boreal,Cnidaria
HD 109271 c,Tundra,Arthropoda
HD 109286 b,Tundra,Chordata
HD 109749 b,Swamp,Echinodermata
HD 10975 b,Scarlet,Nematoda
HD 109833 b,Temperate,Cnidaria
HD 109833 c,Desert,Angiospermae
HD 109988 b,Tropical,Cnidaria
HD 110014 b,Alpine,Pteridophyta
HD 110067 b,Swamp,Chordata
HD 110067 c,Nemoral,Echinodermata
HD 110067 d,Tundra,Chordata
HD 110067 e,Scarlet,Chordata
HD 110067 f,Desert,Mollusca
HD 110067 g,Alpine,Mollusca
HD 110082 b,Marshland,Nematoda
HD 110113 b,Boreal,Mollusca
HD 110113 c,Marshland,Annelida
HD 110537 b,Alpine,Platyhelminthes
HD 11112 b,Alpine,Mollusca
HD 111232 b,Tundra,Cnidaria
HD 111232 c,Scarlet,Pteridophyta
HD 111591 b,Marshland,Cnidaria
HD 111998 b,Swamp,Arthropoda
HD 112300 b,Tundra,Platyhelminthes
HD 112570 b,Tropical,Arthropoda
HD 112640 b,Tundra,Platyhelminthes
HD 113337 b,Tundra,Arthropoda
HD 113337 c,Boreal,Cnidaria
HD 11343 c,Desert,Bryophyta
HD 113538 b,Boreal,Cnidaria
HD 113538 c,Boreal,Platyhelminthes
HD 113996 b,Nemoral,Bryophyta
HD 114082 b,Tundra,Arthropoda
HD 114386 b,Boreal,Mollusca
HD 114729 b,Scarlet,Platyhelminthes
HD 114783 b,Tundra,Cnidaria
HD 114783 c,Swamp,Pteridophyta
HD 11505 b,Tropical,Arthropoda
HD 11506 b,Tundra,Annelida
HD 11506 c,Desert,Echinodermata
HD 11506 d,Tundra,Chordata
HD 115404 A b,Tropical,Annelida
HD 115404 A c,Desert,Cnidaria
HD 115954 b,Swamp,Arthropoda
HD 116029 b,Boreal,Porifera
HD 116029 c,Scarlet,Echinodermata
HD 117207 b,Scarlet,Pteridophyta
HD 11755 b,Desert,Nematoda
HD 117618 b,Tropical,Annelida
HD 118203 b,Tropical,Echinodermata
HD 118203 c,Scarlet,Echinodermata
HD 11964 b,Marshland,Porifera
HD 11964 c,Boreal,Cnidaria
HD 11977 b,Scarlet,Arthropoda
HD 120084 b,Alpine,Annelida
HD 121504 b,Alpine,Cnidaria
HD 12235 b,Scarlet,Pteridophyta
HD 12235 c,Temperate,Arthropoda
HD 122562 c,Temperate,Mollusca
HD 124330 b,Tundra,Platyhelminthes
HD 12484 b,Alpine,Cnidaria
HD 125271 b,Tropical,Platyhelminthes
HD 125390 b,Tundra,Nematoda
HD 125595 b,Boreal,Platyhelminthes
HD 125612 b,Swamp,Porifera
HD 125612 c,Boreal,Mollusca
HD 125612 d,Scarlet,Cnidaria
HD 12648 b,Swamp,Echinodermata
HD 126525 b,Tundra,Chordata
HD 12661 b,Alpine,Platyhelminthes
HD 12661 c,Alpine,Cnidaria
HD 126614 b,Scarlet,Bryophyta
HD 127506 b,Nemoral,Arthropoda
HD 128311 b,Swamp,Chordata
HD 128311 c,Tropical,Chordata
HD 128356 b,Boreal,Echinodermata
HD 129445 b,Nemoral,Annelida
HD 130322 b,Tundra,Echinodermata
HD 131496 b,Desert,Cnidaria
HD 13167 b,Tropical,Cnidaria
HD 13189 b,Tundra,Arthropoda
HD 132406 b,Desert,Echinodermata
HD 132563 b,Desert,Annelida
HD 133131 A b,Tundra,Platyhelminthes
HD 133131 A c,Tropical,Mollusca
HD 133131 B b,Tundra,Cnidaria
HD 134060 b,Marshland,Pteridophyta
HD 134060 c,Boreal,Nematoda
HD 134606 b,Alpine,Bryophyta
HD 134606 c,Tundra,Chordata
HD 134606 d,Desert,Arthropoda
HD 134606 e,Tropical,Echinodermata
HD 134606 f,Tundra,Echinodermata
HD 134987 b,Tundra,Pteridophyta
HD 134987 c,Tundra,Nematoda
HD 135625 b,Boreal,Arthropoda
HD 135694 b,Marshland,Pteridophyta
HD 135872 b,Tropical,Annelida
HD 136118 b,Scarlet,Chordata
HD 136352 b,Tundra,Cnidaria
HD 136352 c,Tundra,Echinodermata
HD 136352 d,Tundra,Bryophyta
HD 136418 b,Desert,Annelida
HD 136925 b,Nemoral,Bryophyta
HD 13724 c,Alpine,Cnidaria
HD 137388 b,Swamp,Bryophyta
HD 137496 b,Alpine,Pteridophyta
HD 137496 c,Nemoral,Arthropoda
HD 13808 b,Marshland,Arthropoda
HD 13808 c,Temperate,Echinodermata
HD 13908 b,Boreal,Mollusca
HD 13908 c,Alpine,Arthropoda
HD 13931 b,Alpine,Platyhelminthes
HD 139357 b,Scarlet,Nematoda
HD 1397 b,Swamp,Annelida
HD 14067 b,Alpine,Chordata
HD 140901 b,Tundra,Bryophyta
HD 140901 c,Temperate,Mollusca
HD 141004 b,Scarlet,Pteridophyta
HD 141399 b,Tropical,Annelida
HD 141399 c,Desert,Cnidaria
HD 141399 d,Scarlet,Annelida
HD 141399 e,Alpine,Chordata
HD 141937 b,Desert,Platyhelminthes
HD 142 A d,Nemoral,Annelida
HD 142 b,Boreal,Annelida
HD 142 c,Marshland,Echinodermata
HD 142022 A b,Tundra,Pteridophyta
HD 142245 b,Scarlet,Porifera
HD 142415 b,Marshland,Chordata
HD 143105 b,Boreal,Bryophyta
HD 143361 b,Temperate,Nematoda
HD 144899 b,Desert,Cnidaria
HD 145377 b,Tundra,Nematoda
HD 145457 b,Scarlet,Annelida
HD 145675 c,Temperate,Angiospermae
HD 145934 b,Swamp,Arthropoda
HD 1461 b,Tundra,Annelida
HD 1461 c,Marshland,Mollusca
HD 147018 b,Swamp,Bryophyta
HD 147018 c,Scarlet,Annelida
HD 147379 b,Marshland,Arthropoda
HD 147513 b,Tundra,Arthropoda
HD 14787 b,Swamp,Chordata
HD 147873 b,Tropical,Bryophyta
HD 147873 c,Tundra,Porifera
HD 148156 b,Boreal,Arthropoda
HD 148164 b,Swamp,Platyhelminthes
